,PLAYER,RPG_return,PTS_return,APG_return,BLKPG_return,STPG_return,Total_return
190,C.J. McCollum,1.4,2.05882352941,3.3,0.538461538462,0.68115942029,7.97844448816
124,Jon Leuer,0.727272727273,1.0,0.857142857143,2.14285714286,1.18518518519,5.91245791246
183,Tony Parker,0.368421052632,-0.118055555556,0.0408163265306,5.0,0.384615384615,5.67579720822
185,Matthew Dellavedova,0.263157894737,0.708333333333,0.6,3.0,1.02777777778,5.59926900585
146,Mike Scott,-0.241379310345,-0.115384615385,-0.0909090909091,5.5,-0.162162162162,4.8901648212
140,Otto Porter Jr.,0.866666666667,1.08333333333,1.33333333333,-0.146341463415,1.74576271186,4.88275458178
192,Nik Stauskas,1.0,0.636363636364,1.0,0.695652173913,1.25925925926,4.59127506954
188,J.J. Barea,0.176470588235,0.253333333333,0.176470588235,4.0,-0.116279069767,4.48999544004
142,Kent Bazemore,0.466666666667,1.5,1.4,0.0227272727273,0.855072463768,4.24446640316
52,Ian Mahinmi,0.224137931034,0.953488372093,1.6,0.373333333333,0.877551020408,4.02851065687
115,Jae Crowder,0.444444444444,0.87012987013,0.727272727273,0.833333333333,1.09090909091,3.96608946609
147,Will Barton,1.17857142857,1.26470588235,0.714285714286,0.242424242424,0.0722891566265,3.47227642426
104,Omri Casspi,0.641025641026,0.393258426966,0.0,1.0,0.782608695652,2.81689276364
178,Dennis Schroder,0.285714285714,0.08,0.146341463415,1.4,0.703125,2.61518074913
45,Mason Plumlee,0.258064516129,0.0689655172414,2.11111111111,0.181818181818,-0.0126582278481,2.60730109845
76,Kyle Lowry,0.063829787234,0.162921348315,-0.0588235294118,1.94736842105,0.461538461538,2.57683448873
56,Rajon Rondo,0.181818181818,0.314606741573,0.46835443038,1.0,0.328358208955,2.29313756273
155,Evan Fournier,0.115384615385,0.141666666667,0.238095238095,0.666666666667,0.971014492754,2.13282767957
152,Derrick Williams,0.333333333333,0.10843373494,0.142857142857,1.6,-0.0869565217391,2.09766768939
112,Danilo Gallinari,0.540540540541,0.556451612903,0.785714285714,0.235294117647,-0.15,1.96800055681
80,Al-Farouq Aminu,0.413043478261,0.875,0.875,-0.166666666667,-0.105263157895,1.8911136537
28,Brook Lopez,0.121621621622,0.133720930233,1.28571428571,0.0628571428571,0.216666666667,1.82058064709
138,Jerami Grant,0.5,0.428571428571,0.0833333333333,0.542857142857,0.145161290323,1.69992319508
65,Marvin Williams,0.367346938776,0.283783783784,0.0769230769231,1.28260869565,-0.352272727273,1.65838976786
173,Isaiah Thomas,0.304347826087,0.329268292683,0.595238095238,0.0,0.388235294118,1.61708950813
135,Jarrett Jack,0.387096774194,0.0666666666667,0.574468085106,0.375,0.127659574468,1.53089110043
184,Louis Williams,0.421052631579,0.0,0.285714285714,0.923076923077,-0.109090909091,1.52075293128
144,Darrell Arthur,0.413793103448,0.121212121212,0.2,0.622222222222,0.0602409638554,1.41746841074
1,Andre Drummond,0.140740740741,0.253623188406,0.285714285714,-0.208556149733,0.943820224719,1.41534228985
133,Kentavious Caldwell-Pope,0.161290322581,0.165354330709,0.461538461538,0.227272727273,0.389380530973,1.40483637307
74,Marcus Morris,0.104166666667,0.346153846154,0.3125,0.5,0.128205128205,1.39102564103
174,Ramon Sessions,0.0869565217391,0.603174603175,0.0714285714286,,0.622222222222,1.38378191856
73,Ersan Ilyasova,0.145833333333,-0.0260869565217,0.2,0.787878787879,0.209677419355,1.31730258405
164,Cory Joseph,0.0416666666667,0.205882352941,0.25,0.363636363636,0.448275862069,1.30946124531
17,Draymond Green,0.158536585366,0.25641025641,0.972972972973,0.04,-0.121794871795,1.30612494295
128,Arron Afflalo,0.15625,0.0451127819549,0.0588235294118,1.33333333333,-0.396226415094,1.19729322961
163,Tony Snell,0.458333333333,-0.0333333333333,0.111111111111,0.933333333333,-0.272727272727,1.19671717172
98,Victor Oladipo,0.142857142857,-0.223463687151,-0.0487804878049,1.42307692308,-0.22754491018,1.0661449808
81,DeMar DeRozan,-0.0217391304348,0.1592039801,0.2,0.833333333333,-0.16393442623,1.00686375677
89,Khris Middleton,-0.204545454545,0.320895522388,0.739130434783,0.428571428571,-0.279220779221,1.00483115198
161,Gerald Green,0.04,-0.100840336134,-0.25,1.3125,-0.0350877192982,0.966571944567
71,Ryan Anderson,0.25,0.226277372263,0.111111111111,0.242424242424,0.12962962963,0.959442355428
130,Avery Bradley,-0.161290322581,0.0575539568345,0.166666666667,0.368421052632,0.5,0.931351353552
106,Brandon Knight,-0.0512820512821,0.158823529412,-0.0192307692308,0.9375,-0.0979020979021,0.927908610997
170,Jameer Nelson,0.347826086957,-0.0240963855422,0.275,0.4,-0.08,0.918729701414
107,Andre Roberson,-0.105263157895,0.470588235294,-0.2,0.581395348837,0.151898734177,0.898619160414
48,Dirk Nowitzki,0.152542372881,0.0231213872832,0.0,0.46511627907,0.235294117647,0.876074156881
116,Kemba Walker,0.2,0.184971098266,-0.0196078431373,0.28,0.215277777778,0.860641032906
60,Kosta Koufos,0.132075471698,0.403846153846,-0.4,0.192307692308,0.527777777778,0.85600709563
22,Paul Millsap,0.128205128205,0.101796407186,0.129032258065,0.431578947368,0.061797752809,0.852410493633
3,Pau Gasol,-0.0847457627119,-0.108108108108,0.148148148148,0.143617021277,0.75,0.848911298605
85,Aron Baynes,-0.0222222222222,-0.181818181818,0.4,0.645161290323,0.0,0.841120886282
