RANK_steals_2016,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
50,P.J. Tucker,PHX,45,28.4,52,1.16,1.95,50,1.11,101,1.04,0.51
51,Patrick Beverley,HOU,34,25.6,39,1.15,2.15,45,1.32,105,0.87,0.37
52,Gorgui Dieng,MIN,45,23.7,51,1.13,2.29,86,1.91,116,0.59,0.44
53,Corey Brewer,HOU,45,20.1,50,1.11,2.65,46,1.02,96,1.09,0.52
54,Khris Middleton,MIL,46,36.0,51,1.11,1.48,86,1.87,122,0.59,0.42
55,Manu Ginobili,SA,38,19.8,42,1.11,2.68,63,1.66,59,0.67,0.71
56,C.J. Miles,IND,39,26.5,43,1.10,1.99,44,1.13,93,0.98,0.46
57,Courtney Lee,MEM,43,29.4,47,1.09,1.78,40,0.93,66,1.18,0.71
58,Dennis Schroder,ATL,43,21.5,47,1.09,2.44,92,2.14,70,0.51,0.67
59,Jrue Holiday,NO,37,25.0,40,1.08,2.08,78,2.11,84,0.51,0.48
60,Gary Harris,DEN,38,30.4,41,1.08,1.71,53,1.39,76,0.77,0.54
61,Ish Smith,NO/PHI,40,25.7,43,1.08,2.01,83,2.08,63,0.52,0.68
62,Wesley Matthews,DAL,41,33.0,44,1.07,1.56,44,1.07,90,1.00,0.49
63,Jarrett Jack,BKN,32,32.1,34,1.06,1.59,94,2.94,77,0.36,0.44
64,Ronnie Price,PHX,34,14.8,36,1.06,3.43,26,0.76,77,1.38,0.47
65,J.R. Smith,CLE,38,29.9,39,1.03,1.64,30,0.79,107,1.30,0.36
66,Tobias Harris,ORL,42,33.1,43,1.02,1.48,66,1.57,81,0.65,0.53
67,Zaza Pachulia,DAL,43,29.2,44,1.02,1.68,80,1.86,116,0.55,0.38
68,DeMar DeRozan,TOR,43,36.6,44,1.02,1.34,98,2.28,86,0.45,0.51
69,Greg Monroe,MIL,44,30.3,44,1.00,1.58,75,1.70,97,0.59,0.45
70,Dwight Howard,HOU,37,32.5,37,1.00,1.48,90,2.43,118,0.41,0.31
71,Deron Williams,DAL,37,32.5,37,1.00,1.48,90,2.43,82,0.41,0.45
72,Goran Dragic,MIA,37,32.5,37,1.00,1.48,92,2.49,90,0.40,0.41
73,Jose Calderon,NY,46,27.9,45,0.98,1.68,52,1.13,78,0.87,0.58
74,Louis Williams,LAL,44,29.2,43,0.98,1.61,70,1.59,79,0.61,0.54
75,Jared Dudley,WSH,40,28.9,39,0.98,1.62,36,0.90,94,1.08,0.41
76,Devin Harris,DAL,39,19.8,38,0.97,2.36,36,0.92,79,1.06,0.48
77,Kevin Durant,OKC,38,35.5,37,0.97,1.32,112,2.95,60,0.33,0.62
78,Giannis Antetokounmpo,MIL,44,34.1,42,0.95,1.34,110,2.50,156,0.38,0.27
79,Clint Capela,HOU,44,21.6,42,0.95,2.12,47,1.07,111,0.89,0.38
