RANK_steals_2015,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
1,Kawhi Leonard,SA,64,31.8,148,2.31,3.49,97,1.52,128,1.53,1.16
2,Russell Westbrook,OKC,67,34.4,140,2.09,2.92,293,4.37,184,0.48,0.76
3,Tony Allen,MEM,63,26.2,129,2.05,3.76,86,1.37,166,1.50,0.78
4,Stephen Curry,GS,80,32.7,163,2.04,2.99,249,3.11,158,0.65,1.03
5,Chris Paul,LAC,82,34.8,156,1.90,2.62,190,2.32,203,0.82,0.77
6,James Harden,HOU,81,36.8,154,1.90,2.48,321,3.96,208,0.48,0.74
7,Trevor Ariza,HOU,82,35.7,152,1.85,2.49,141,1.72,186,1.08,0.82
8,Monta Ellis,DAL,80,33.7,148,1.85,2.63,198,2.48,197,0.75,0.75
9,Paul Millsap,ATL,73,32.7,130,1.78,2.61,166,2.27,201,0.78,0.65
10,Nerlens Noel,PHI,75,30.8,133,1.77,2.76,146,1.95,208,0.91,0.64
11,Jimmy Butler,CHI,65,38.7,114,1.75,2.18,93,1.43,108,1.23,1.06
12,John Wall,WSH,79,35.9,138,1.75,2.33,304,3.85,180,0.45,0.77
13,Elfrid Payton,ORL,82,30.4,142,1.73,2.74,203,2.48,193,0.70,0.74
14,Jeff Teague,ATL,73,30.5,125,1.71,2.69,205,2.81,139,0.61,0.90
15,Michael Carter-Williams,MIL/PHI,66,32.6,111,1.68,2.48,253,3.83,167,0.44,0.66
16,Victor Oladipo,ORL,72,35.7,120,1.67,2.24,204,2.83,187,0.59,0.64
17,Thaddeus Young,MIN/BKN,76,32.0,124,1.63,2.45,117,1.54,171,1.06,0.73
18,LeBron James,CLE,69,36.1,109,1.58,2.10,272,3.94,135,0.40,0.81
19,Eric Bledsoe,PHX,81,34.6,127,1.57,2.18,274,3.38,189,0.46,0.67
20,Kyle Lowry,TOR,70,34.5,109,1.56,2.17,173,2.47,212,0.63,0.51
21,Draymond Green,GS,79,31.5,123,1.56,2.37,133,1.68,253,0.92,0.49
22,Khris Middleton,MIL,79,30.1,122,1.54,2.46,113,1.43,183,1.08,0.67
