RANK_steals_2015,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
23,DeMarcus Cousins,SAC,59,34.1,90,1.53,2.15,254,4.31,241,0.35,0.37
24,Mario Chalmers,MIA,80,29.6,122,1.53,2.47,173,2.16,251,0.71,0.49
25,Kyrie Irving,CLE,75,36.4,114,1.52,2.00,186,2.48,146,0.61,0.78
26,Marcus Smart,BOS,67,27.0,99,1.48,2.63,90,1.34,176,1.10,0.56
27,Anthony Davis,NO,68,36.1,100,1.47,1.96,95,1.40,141,1.05,0.71
28,Kemba Walker,CHA,62,34.2,89,1.44,2.02,100,1.61,92,0.89,0.97
29,Brandon Knight,MIL/PHX,63,32.3,90,1.43,2.12,189,3.00,114,0.48,0.79
30,Corey Brewer,HOU/MIN,80,26.1,114,1.43,2.62,131,1.64,173,0.87,0.66
31,Gordon Hayward,UTAH,76,34.4,108,1.42,1.98,206,2.71,131,0.52,0.82
32,Robert Covington,PHI,70,27.9,97,1.39,2.38,128,1.83,189,0.76,0.51
33,P.J. Tucker,PHX,78,30.6,107,1.37,2.16,96,1.23,179,1.11,0.60
34,DeMarre Carroll,ATL,70,31.3,94,1.34,2.06,75,1.07,154,1.25,0.61
35,Rajon Rondo,BOS/DAL,68,29.7,91,1.34,2.16,210,3.09,153,0.43,0.59
36,Iman Shumpert,CLE/NY,62,24.9,81,1.31,2.52,91,1.47,138,0.89,0.59
37,Wesley Matthews,POR,60,33.7,77,1.28,1.83,81,1.35,132,0.95,0.58
38,Mike Conley,MEM,70,31.8,89,1.27,1.92,156,2.23,139,0.57,0.64
39,Tyreke Evans,NO,79,34.1,100,1.27,1.78,246,3.11,198,0.41,0.51
40,Danny Green,SA,81,28.5,101,1.25,2.10,93,1.15,163,1.09,0.62
41,Markieff Morris,PHX,82,31.5,101,1.23,1.88,170,2.07,245,0.59,0.41
42,Ty Lawson,DEN,75,35.5,92,1.23,1.66,185,2.47,128,0.50,0.72
43,Shane Larkin,NY,76,24.5,93,1.22,2.39,83,1.09,150,1.12,0.62
44,DeMar DeRozan,TOR,60,35.0,73,1.22,1.67,137,2.28,122,0.53,0.60
45,Luc Richard Mbah a Moute,PHI,67,28.6,81,1.21,2.03,99,1.48,104,0.82,0.78
46,Bradley Beal,WSH,63,33.4,76,1.21,1.73,123,1.95,136,0.62,0.56
47,Damian Lillard,POR,82,35.7,97,1.18,1.59,222,2.71,164,0.44,0.59
48,Pablo Prigioni,HOU/NY,67,17.9,79,1.18,3.17,62,0.93,88,1.27,0.90
49,Dwyane Wade,MIA,62,31.8,73,1.18,1.78,209,3.37,105,0.35,0.70
50,J.R. Smith,CLE/NY,70,29.7,82,1.17,1.89,97,1.39,163,0.85,0.50
51,Andre Iguodala,GS,77,26.9,89,1.16,2.06,88,1.14,100,1.01,0.89
52,Kentavious Caldwell-Pope,DET,82,31.5,93,1.13,1.73,94,1.15,161,0.99,0.58
53,Greg Monroe,DET,69,31.0,78,1.13,1.75,149,2.16,148,0.52,0.53
54,Klay Thompson,GS,77,31.9,87,1.13,1.70,149,1.94,122,0.58,0.71
55,Dion Waiters,CLE/OKC,80,27.6,90,1.13,1.96,113,1.41,155,0.80,0.58
56,Jeremy Lin,LAL,74,25.8,82,1.11,2.06,166,2.24,189,0.49,0.43
57,Louis Williams,TOR,80,25.2,88,1.10,2.10,101,1.26,103,0.87,0.85
58,Nicolas Batum,POR,71,33.5,78,1.10,1.57,132,1.86,106,0.59,0.74
59,Zaza Pachulia,MIL,73,23.7,80,1.10,2.22,133,1.82,170,0.60,0.47
60,Nick Calathes,MEM,58,14.4,63,1.09,3.61,61,1.05,100,1.03,0.63
61,Avery Bradley,BOS,77,31.5,82,1.06,1.62,109,1.42,177,0.75,0.46
62,Andrew Wiggins,MIN,82,36.2,86,1.05,1.39,177,2.16,190,0.49,0.45
63,Josh Smith,DET/HOU,83,27.7,87,1.05,1.82,206,2.48,228,0.42,0.38
64,Chandler Parsons,DAL,66,33.1,69,1.05,1.52,96,1.45,140,0.72,0.49
65,Rudy Gay,SAC,68,35.4,71,1.04,1.42,183,2.69,157,0.39,0.45
66,Devin Harris,DAL,76,22.2,78,1.03,2.22,85,1.12,147,0.92,0.53
67,Tobias Harris,ORL,68,34.8,69,1.01,1.40,115,1.69,134,0.60,0.51
68,Evan Turner,BOS,82,27.6,83,1.01,1.76,198,2.41,180,0.42,0.46
69,Goran Dragic,MIA/PHX,78,33.8,78,1.00,1.42,173,2.22,195,0.45,0.40
70,Jared Dudley,MIL,72,23.8,72,1.00,2.01,62,0.86,113,1.16,0.64
71,Kelly Olynyk,BOS,64,22.3,64,1.00,2.16,98,1.53,213,0.65,0.30
72,DeAndre Jordan,LAC,82,34.4,81,0.99,1.38,109,1.33,245,0.74,0.33
73,Nene Hilario,WSH,67,25.3,66,0.99,1.87,124,1.85,180,0.53,0.37
74,Jodie Meeks,DET,60,24.4,59,0.98,1.94,57,0.95,76,1.04,0.78
75,Courtney Lee,MEM,77,30.6,75,0.97,1.53,78,1.01,129,0.96,0.58
76,Gorgui Dieng,MIN,73,30.0,71,0.97,1.55,126,1.73,188,0.56,0.38
77,Zach Randolph,MEM,71,32.5,69,0.97,1.44,156,2.20,175,0.44,0.39
78,Manu Ginobili,SA,70,22.7,67,0.96,2.03,154,2.20,138,0.44,0.49
79,Al-Farouq Aminu,DAL,74,18.5,70,0.95,2.46,55,0.74,137,1.27,0.51
80,Deron Williams,BKN,68,31.1,64,0.94,1.45,154,2.26,157,0.42,0.41
81,Blake Griffin,LAC,67,35.2,63,0.94,1.28,152,2.27,196,0.41,0.32
82,Ben McLemore,SAC,82,32.6,77,0.94,1.38,138,1.68,219,0.56,0.35
83,Jarrett Jack,BKN,80,28.0,75,0.94,1.61,191,2.39,143,0.39,0.52
84,Jamal Crawford,LAC,64,26.6,59,0.92,1.66,92,1.44,108,0.64,0.55
85,Joe Ingles,UTAH,79,21.2,72,0.91,2.07,98,1.24,124,0.73,0.58
86,Luol Deng,MIA,72,33.6,65,0.90,1.29,108,1.50,109,0.60,0.60
87,Giannis Antetokounmpo,MIL,81,31.4,73,0.90,1.38,173,2.14,254,0.42,0.29
88,Al Horford,ATL,76,30.5,68,0.89,1.41,100,1.32,121,0.68,0.56
89,Andre Drummond,DET,82,30.5,73,0.89,1.40,120,1.46,285,0.61,0.26
90,Marvin Williams,CHA,78,26.1,69,0.88,1.63,60,0.77,146,1.15,0.47
91,Matt Barnes,LAC,76,29.9,67,0.88,1.42,87,1.14,240,0.77,0.28
92,Jae Crowder,BOS/DAL,82,20.1,72,0.88,2.10,49,0.60,137,1.47,0.53
93,Jordan Clarkson,LAL,59,25.0,51,0.86,1.66,96,1.63,109,0.53,0.47
94,Marc Gasol,MEM,81,33.2,70,0.86,1.25,176,2.17,208,0.40,0.34
95,Jason Terry,HOU,77,21.3,66,0.86,1.93,74,0.96,116,0.89,0.57
96,C.J. Miles,IND,70,26.3,60,0.86,1.56,73,1.04,132,0.82,0.45
97,Trey Burke,UTAH,76,30.1,65,0.86,1.36,124,1.63,119,0.52,0.55
98,Isaiah Thomas,BOS/PHX,67,25.8,57,0.85,1.59,143,2.13,150,0.40,0.38
99,Jusuf Nurkic,DEN,62,17.8,52,0.84,2.26,86,1.39,207,0.60,0.25
100,Darrell Arthur,DEN,58,17.0,48,0.83,2.33,47,0.81,146,1.02,0.33
101,Will Barton,DEN/POR,58,16.9,48,0.83,2.34,61,1.05,70,0.79,0.69
102,Kenneth Faried,DEN,75,27.8,62,0.83,1.43,118,1.57,211,0.53,0.29
103,Eric Gordon,NO,61,33.1,50,0.82,1.19,122,2.00,145,0.41,0.34
104,Tim Duncan,SA,77,28.9,63,0.82,1.36,131,1.70,165,0.48,0.38
105,Derrick Favors,UTAH,74,30.8,60,0.81,1.26,121,1.64,210,0.50,0.29
106,Reggie Jackson,DET/OKC,77,29.5,62,0.81,1.31,186,2.42,167,0.33,0.37
107,Solomon Hill,IND,82,29.0,66,0.80,1.33,115,1.40,177,0.57,0.37
108,O.J. Mayo,MIL,71,23.9,57,0.80,1.61,128,1.80,165,0.45,0.35
109,Hollis Thompson,PHI,71,25.0,57,0.80,1.54,66,0.93,141,0.86,0.40
110,Danilo Gallinari,DEN,59,24.2,47,0.80,1.58,57,0.97,94,0.82,0.50
111,Mason Plumlee,BKN,82,21.3,65,0.79,1.79,106,1.29,207,0.61,0.31
112,Andre Roberson,OKC,67,19.2,53,0.79,1.98,46,0.69,141,1.15,0.38
113,Rodney Stuckey,IND,71,26.4,56,0.79,1.43,118,1.66,131,0.47,0.43
114,Donatas Motiejunas,HOU,71,28.7,56,0.79,1.32,123,1.73,203,0.46,0.28
115,Rudy Gobert,UTAH,82,26.3,64,0.78,1.42,111,1.35,175,0.58,0.37
116,Marcus Morris,PHX,81,25.2,63,0.78,1.48,73,0.90,188,0.86,0.34
117,Wesley Johnson,LAL,76,29.5,59,0.78,1.26,87,1.14,162,0.68,0.36
118,James Johnson,TOR,70,19.6,54,0.77,1.89,79,1.13,155,0.68,0.35
119,Jerryd Bayless,MIL,77,22.3,59,0.77,1.65,133,1.73,163,0.44,0.36
120,Norris Cole,NO/MIA,75,24.4,57,0.76,1.49,99,1.32,124,0.58,0.46
121,Jared Sullinger,BOS,58,27.0,44,0.76,1.35,78,1.34,153,0.56,0.29
122,Alan Anderson,BKN,74,23.6,56,0.76,1.54,60,0.81,148,0.93,0.38
123,Jameer Nelson,BOS/DAL/DEN,63,22.3,47,0.75,1.60,109,1.73,136,0.43,0.35
124,Harrison Barnes,GS,82,28.3,61,0.74,1.26,71,0.87,146,0.86,0.42
125,Wilson Chandler,DEN,78,31.7,58,0.74,1.13,110,1.41,231,0.53,0.25
126,Patrick Patterson,TOR,81,26.6,60,0.74,1.34,54,0.67,149,1.11,0.40
127,Joe Johnson,BKN,80,34.9,59,0.74,1.01,137,1.71,120,0.43,0.49
128,Anthony Morrow,OKC,74,24.4,54,0.73,1.44,38,0.51,135,1.42,0.40
129,Nikola Vucevic,ORL,74,34.2,54,0.73,1.02,148,2.00,220,0.36,0.25
130,David West,IND,66,28.7,48,0.73,1.22,120,1.82,160,0.40,0.30
131,Al Jefferson,CHA,65,30.6,47,0.72,1.13,68,1.05,139,0.69,0.34
132,Joakim Noah,CHI,67,30.6,48,0.72,1.12,123,1.84,203,0.39,0.24
133,K.J. McDaniels,HOU/PHI,62,21.8,44,0.71,1.56,105,1.69,126,0.42,0.35
134,Zach LaVine,MIN,77,24.7,54,0.70,1.36,193,2.51,158,0.28,0.34
135,Kirk Hinrich,CHI,66,24.4,46,0.70,1.37,73,1.11,144,0.63,0.32
136,Dante Cunningham,NO,66,25.0,46,0.70,1.34,35,0.53,101,1.31,0.46
137,C.J. McCollum,POR,62,15.7,43,0.69,2.12,48,0.77,81,0.90,0.53
138,Kyle Korver,ATL,75,32.2,52,0.69,1.03,107,1.43,140,0.49,0.37
139,Kent Bazemore,ATL,75,17.7,52,0.69,1.89,73,0.97,127,0.71,0.41
140,Evan Fournier,ORL,58,28.6,40,0.69,1.16,82,1.41,116,0.49,0.34
141,Kevin Love,CLE,75,33.8,51,0.68,0.97,122,1.63,140,0.42,0.36
142,Jeff Green,BOS/MEM,78,31.5,53,0.68,1.04,108,1.38,147,0.49,0.36
143,Justin Holiday,GS,59,11.1,40,0.68,2.92,29,0.49,54,1.38,0.74
144,Mo Williams,MIN/CHA,68,29.1,46,0.68,1.12,172,2.53,162,0.27,0.28
145,LaMarcus Aldridge,POR,71,35.4,48,0.68,0.92,122,1.72,125,0.39,0.38
146,Brandan Wright,BOS/DAL/PHX,75,19.3,50,0.67,1.66,34,0.45,102,1.47,0.49
147,Ray McCallum,SAC,68,21.1,45,0.66,1.50,85,1.25,92,0.53,0.49
148,Aaron Brooks,CHI,82,23.0,54,0.66,1.38,157,1.91,189,0.34,0.29
149,Nikola Mirotic,CHI,82,20.2,54,0.66,1.57,89,1.09,172,0.61,0.31
150,Chase Budinger,MIN,67,19.2,44,0.66,1.64,49,0.73,72,0.90,0.61
151,Vince Carter,MEM,66,16.5,43,0.65,1.89,43,0.65,102,1.00,0.42
152,Tony Parker,SA,68,28.7,44,0.65,1.08,146,2.15,108,0.30,0.41
153,Terrence Ross,TOR,82,25.5,53,0.65,1.22,69,0.84,136,0.77,0.39
154,Gerald Henderson,CHA,80,28.9,51,0.64,1.06,110,1.38,135,0.46,0.38
155,Dennis Schroder,ATL,77,19.7,49,0.64,1.55,150,1.95,127,0.33,0.39
156,Austin Rivers,NO/LAC,76,20.6,48,0.63,1.47,65,0.86,146,0.74,0.33
157,Paul Pierce,WSH,73,26.2,46,0.63,1.15,92,1.26,160,0.50,0.29
158,Shaun Livingston,GS,78,18.8,49,0.63,1.60,102,1.31,110,0.48,0.45
159,Channing Frye,ORL,75,24.9,47,0.63,1.21,78,1.04,191,0.60,0.25
160,Lance Stephenson,CHA,61,25.8,38,0.62,1.16,128,2.10,134,0.30,0.28
161,Leandro Barbosa,GS,66,14.9,41,0.62,2.00,44,0.67,87,0.93,0.47
162,Ersan Ilyasova,MIL,58,22.7,36,0.62,1.31,45,0.78,149,0.80,0.24
163,Ed Davis,LAL,79,23.3,49,0.62,1.28,58,0.73,202,0.84,0.24
164,Mike Dunleavy,CHI,63,29.2,39,0.62,1.02,60,0.95,123,0.65,0.32
165,Jerami Grant,PHI,65,21.2,40,0.62,1.39,85,1.31,144,0.47,0.28
166,Jonas Jerebko,BOS/DET,75,16.4,46,0.61,1.80,44,0.59,135,1.05,0.34
167,Cole Aldrich,NY,61,16.0,37,0.61,1.82,59,0.97,122,0.63,0.30
168,Marcin Gortat,WSH,82,29.9,49,0.60,0.96,100,1.22,191,0.49,0.26
169,D.J. Augustin,DET/OKC,82,24.0,49,0.60,1.20,145,1.77,93,0.34,0.53
170,Brook Lopez,BKN,72,29.2,43,0.60,0.98,104,1.44,206,0.41,0.21
171,Lance Thomas,NY/OKC,62,24.0,37,0.60,1.19,74,1.19,101,0.50,0.37
172,Otto Porter Jr.,WSH,74,19.4,44,0.59,1.47,52,0.70,97,0.85,0.45
173,Kyle Singler,DET/OKC,80,21.8,47,0.59,1.29,55,0.69,153,0.85,0.31
174,Amir Johnson,TOR,75,26.4,44,0.59,1.07,110,1.47,225,0.40,0.20
175,Beno Udrih,MEM,79,18.9,46,0.58,1.48,89,1.13,88,0.52,0.52
176,Cory Joseph,SA,79,18.3,46,0.58,1.53,67,0.85,105,0.69,0.44
177,Andrew Bogut,GS,67,23.6,39,0.58,1.18,106,1.58,188,0.37,0.21
178,Taj Gibson,CHI,62,27.3,36,0.58,1.02,77,1.24,162,0.47,0.22
179,Luis Scola,IND,81,20.5,47,0.58,1.36,94,1.16,192,0.50,0.24
180,Joey Dorsey,HOU,69,12.4,40,0.58,2.25,41,0.59,157,0.98,0.25
181,Carlos Boozer,LAL,71,23.8,41,0.58,1.16,92,1.30,184,0.45,0.22
182,Gerald Green,PHX,74,19.5,42,0.57,1.39,104,1.41,145,0.40,0.29
183,Miles Plumlee,MIL/PHX,73,16.4,41,0.56,1.65,51,0.70,111,0.80,0.37
184,Greivis Vasquez,TOR,82,24.3,46,0.56,1.11,119,1.45,177,0.39,0.26
185,Tyson Chandler,DAL,75,30.5,42,0.56,0.88,105,1.40,169,0.40,0.25
186,Glen Davis,LAC,74,12.2,41,0.55,2.18,39,0.53,132,1.05,0.31
187,Caron Butler,DET,78,20.8,43,0.55,1.27,49,0.63,120,0.88,0.36
188,Cody Zeller,CHA,62,24.0,34,0.55,1.10,62,1.00,156,0.55,0.22
189,Trevor Booker,UTAH,79,19.8,43,0.54,1.32,88,1.11,144,0.49,0.30
190,Steven Adams,OKC,70,25.3,38,0.54,1.03,99,1.41,222,0.38,0.17
191,Ryan Anderson,NO,61,27.5,33,0.54,0.95,62,1.02,113,0.53,0.29
192,Henry Sims,PHI,73,19.2,39,0.53,1.34,99,1.36,135,0.39,0.29
193,Kris Humphries,WSH,64,21.0,34,0.53,1.21,46,0.72,130,0.74,0.26
194,Nick Collison,OKC,66,16.7,35,0.53,1.53,45,0.68,156,0.78,0.22
195,Arron Afflalo,DEN/POR,78,32.1,41,0.53,0.79,116,1.49,167,0.35,0.25
196,JaKarr Sampson,PHI,74,15.3,38,0.51,1.61,76,1.03,135,0.50,0.28
197,Wayne Ellington,LAL,65,25.8,33,0.51,0.95,50,0.77,77,0.66,0.43
198,Dirk Nowitzki,DAL,77,29.6,39,0.51,0.82,82,1.06,160,0.48,0.24
199,Steve Blake,POR,81,18.9,41,0.51,1.29,104,1.28,118,0.39,0.35
200,Brandon Bass,BOS,82,23.5,41,0.50,1.02,83,1.01,140,0.49,0.29
201,Dante Exum,UTAH,82,22.2,41,0.50,1.08,118,1.44,147,0.35,0.28
202,J.J. Redick,LAC,78,30.9,39,0.50,0.78,95,1.22,134,0.41,0.29
203,Marco Belinelli,SA,62,22.4,31,0.50,1.07,61,0.98,85,0.51,0.36
204,Tayshaun Prince,BOS/DET/MEM,58,24.1,29,0.50,1.00,35,0.60,55,0.83,0.53
205,JJ Hickson,DEN,73,19.3,36,0.49,1.22,96,1.32,136,0.38,0.26
206,Alex Len,PHX,69,22.0,34,0.49,1.08,74,1.07,213,0.46,0.16
207,Ian Mahinmi,IND,61,18.8,30,0.49,1.26,59,0.97,172,0.51,0.17
208,Amar'e Stoudemire,DAL/NY,59,21.1,29,0.49,1.12,78,1.32,161,0.37,0.18
209,Jordan Hill,LAL,70,26.8,34,0.49,0.87,106,1.51,164,0.32,0.21
210,Enes Kanter,OKC/UTAH,75,28.5,36,0.48,0.81,145,1.93,189,0.25,0.19
211,Serge Ibaka,OKC,64,33.1,30,0.47,0.68,97,1.52,194,0.31,0.15
212,Omri Casspi,SAC,67,21.1,31,0.46,1.05,88,1.31,107,0.35,0.29
213,Derrick Williams,SAC,74,19.8,34,0.46,1.12,56,0.76,67,0.61,0.51
214,Brian Roberts,CHA,72,18.5,33,0.46,1.19,57,0.79,75,0.58,0.44
215,Ramon Sessions,SAC/WSH,64,18.6,29,0.45,1.17,86,1.34,73,0.34,0.40
216,Boris Diaw,SA,81,24.5,36,0.44,0.87,126,1.56,148,0.29,0.24
217,Tony Snell,CHI,72,19.6,32,0.44,1.09,48,0.67,86,0.67,0.37
218,Bojan Bogdanovic,BKN,78,23.8,34,0.44,0.88,78,1.00,104,0.44,0.33
219,Chris Andersen,MIA,60,18.9,26,0.43,1.10,40,0.67,88,0.65,0.30
220,Richard Jefferson,DAL,74,16.8,32,0.43,1.23,52,0.70,115,0.62,0.28
221,J.J. Barea,DAL,77,17.7,33,0.43,1.16,70,0.91,104,0.47,0.32
222,John Henson,MIL,67,18.3,28,0.42,1.09,87,1.30,152,0.32,0.18
223,Robert Sacre,LAL,67,16.9,28,0.42,1.19,36,0.54,121,0.78,0.23
224,Tristan Thompson,CLE,82,26.8,34,0.41,0.74,83,1.01,189,0.41,0.18
225,Jonas Valanciunas,TOR,80,26.2,33,0.41,0.76,109,1.36,222,0.30,0.15
226,Jason Thompson,SAC,81,24.6,33,0.41,0.80,84,1.04,239,0.39,0.14
227,Timofey Mozgov,CLE/DEN,81,25.3,33,0.41,0.77,116,1.43,227,0.28,0.15
228,Tyler Hansbrough,TOR,74,14.3,30,0.41,1.36,20,0.27,141,1.50,0.21
229,James Ennis,MIA,62,17.0,25,0.40,1.14,39,0.63,89,0.64,0.28
230,Quincy Acy,NY,68,18.9,27,0.40,1.01,60,0.88,147,0.45,0.18
231,Shawne Williams,DET/MIA,63,17.3,25,0.40,1.10,30,0.48,135,0.83,0.19
232,Andre Miller,SAC/WSH,81,15.5,32,0.40,1.23,104,1.28,103,0.31,0.31
233,Jason Smith,NY,82,21.8,32,0.39,0.86,104,1.27,205,0.31,0.16
234,Rasual Butler,WSH,75,20.1,29,0.39,0.92,48,0.64,98,0.60,0.30
235,Omer Asik,NO,76,26.1,29,0.38,0.70,95,1.25,144,0.31,0.20
236,Mike Scott,ATL,68,16.5,25,0.37,1.07,39,0.57,83,0.64,0.30
237,Matthew Dellavedova,CLE,67,20.6,24,0.36,0.83,61,0.91,152,0.39,0.16
238,Kosta Koufos,MEM,81,16.6,29,0.36,1.03,69,0.85,148,0.42,0.20
239,Udonis Haslem,MIA,62,16.0,21,0.34,1.01,41,0.66,113,0.51,0.19
240,Spencer Hawes,LAC,73,17.5,24,0.33,0.90,61,0.84,173,0.39,0.14
241,Pau Gasol,CHI,78,34.4,25,0.32,0.45,158,2.03,147,0.16,0.17
242,Anthony Tolliver,DET/PHX,76,18.8,24,0.32,0.80,51,0.67,137,0.47,0.18
243,Alexis Ajinca,NO,68,14.1,21,0.31,1.05,69,1.01,151,0.30,0.14
244,Hedo Turkoglu,LAC,62,11.4,19,0.31,1.29,29,0.47,66,0.66,0.29
245,Tarik Black,HOU/LAL,63,19.0,19,0.30,0.76,48,0.76,158,0.40,0.12
246,Jason Maxiell,CHA,61,14.4,18,0.30,0.98,29,0.48,96,0.62,0.19
247,Tim Hardaway Jr.,NY,70,24.0,20,0.29,0.57,82,1.17,119,0.24,0.17
248,Pero Antic,ATL,63,16.5,18,0.29,0.83,49,0.78,132,0.37,0.14
249,Bismack Biyombo,CHA,64,19.4,18,0.28,0.70,52,0.81,140,0.35,0.13
250,Nik Stauskas,SAC,73,15.4,20,0.27,0.85,40,0.55,92,0.50,0.22
251,Robin Lopez,POR,59,27.8,16,0.27,0.47,73,1.24,122,0.22,0.13
252,Dewayne Dedmon,ORL,59,14.3,16,0.27,0.91,51,0.86,141,0.31,0.11
253,Luke Babbitt,NO,63,13.2,17,0.27,0.98,26,0.41,63,0.65,0.27
254,Jon Leuer,MEM,63,13.1,17,0.27,0.99,35,0.56,86,0.49,0.20
255,Marreese Speights,GS,76,15.9,20,0.26,0.80,82,1.08,189,0.24,0.11
256,Quincy Pondexter,NO/MEM,75,23.9,19,0.25,0.51,51,0.68,150,0.37,0.13
257,Chris Kaman,POR,74,18.9,18,0.24,0.62,108,1.46,140,0.17,0.13
258,Lavoy Allen,IND,63,17.0,15,0.24,0.67,40,0.63,102,0.38,0.15
259,Roy Hibbert,IND,76,25.3,18,0.24,0.45,107,1.41,216,0.17,0.08
260,Kendrick Perkins,CLE/OKC,68,16.9,16,0.24,0.67,95,1.40,162,0.17,0.10
261,Damjan Rudez,IND,68,15.4,16,0.24,0.73,47,0.69,79,0.34,0.20
262,Charlie Villanueva,DAL,64,10.6,15,0.23,1.06,28,0.44,64,0.54,0.23
263,Aron Baynes,SA,70,16.0,16,0.23,0.68,65,0.93,162,0.25,0.10
264,Tyler Zeller,BOS,82,21.1,18,0.22,0.50,76,0.93,205,0.24,0.09
265,Carl Landry,SAC,70,17.0,15,0.21,0.60,54,0.77,132,0.28,0.11
266,Matt Bonner,SA,72,13.0,10,0.14,0.51,11,0.15,65,0.91,0.15
267,Kevin Seraphin,WSH,79,15.6,10,0.13,0.39,98,1.24,197,0.10,0.05
