RANK_scoring-per-game_2015,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
164,Henry Sims,PHI,73,19.2,8.0,3.3-6.9,.474,0.1-0.3,.182,1.5-1.9,.774
165,Jason Smith,NY,82,21.8,8.0,3.1-7.2,.434,0.2-0.5,.357,1.5-1.9,.830
166,Patrick Patterson,TOR,81,26.6,8.0,3.0-6.6,.449,1.3-3.5,.371,0.8-1.0,.788
167,Iman Shumpert,CLE/NY,62,24.9,8.0,3.1-7.6,.410,1.1-3.2,.342,0.7-1.0,.672
168,Kris Humphries,WSH,64,21.0,8.0,3.3-7.0,.473,0.0-0.1,.000,1.4-1.8,.744
169,James Johnson,TOR,70,19.6,7.9,3.4-5.8,.589,0.2-0.7,.216,1.0-1.5,.657
170,K.J. McDaniels,HOU/PHI,62,21.8,7.9,2.8-7.0,.396,0.7-2.4,.287,1.6-2.1,.752
171,Andre Iguodala,GS,77,26.9,7.8,3.0-6.4,.466,1.0-2.8,.349,0.9-1.5,.596
172,Marcus Smart,BOS,67,27.0,7.8,2.6-7.1,.367,1.4-4.1,.335,1.2-1.9,.646
173,Mike Scott,ATL,68,16.5,7.8,3.0-6.7,.444,1.0-2.8,.344,0.9-1.1,.792
174,Jerryd Bayless,MIL,77,22.3,7.8,2.9-6.7,.426,0.5-1.6,.308,1.6-1.8,.883
175,Rasual Butler,WSH,75,20.1,7.7,2.9-6.9,.422,1.2-3.1,.387,0.7-0.9,.791
176,Steven Adams,OKC,70,25.3,7.7,3.1-5.7,.544,0.0-0.0,.000,1.5-2.9,.502
177,Jae Crowder,BOS/DAL,82,20.1,7.7,2.8-6.6,.420,0.7-2.5,.293,1.3-1.7,.773
178,Beno Udrih,MEM,79,18.9,7.7,3.1-6.4,.487,0.3-1.2,.268,1.1-1.3,.853
179,Norris Cole,NO/MIA,75,24.4,7.6,3.1-7.4,.412,0.7-2.3,.313,0.8-1.1,.716
180,Cody Zeller,CHA,62,24.0,7.6,2.8-6.0,.461,0.0-0.0,1.000,2.0-2.6,.774
181,JJ Hickson,DEN,73,19.3,7.6,3.0-6.3,.475,0.0-0.0,.000,1.6-2.8,.577
182,J.J. Barea,DAL,77,17.7,7.5,2.9-7.0,.420,0.7-2.2,.323,1.0-1.2,.809
183,Tayshaun Prince,BOS/DET/MEM,58,24.1,7.5,3.1-6.9,.440,0.5-1.2,.463,0.8-1.1,.754
184,Marvin Williams,CHA,78,26.1,7.4,2.7-6.3,.424,1.2-3.4,.358,0.8-1.1,.713
185,Ray McCallum,SAC,68,21.1,7.4,3.0-6.9,.438,0.5-1.6,.306,0.8-1.2,.679
186,Alan Anderson,BKN,74,23.6,7.4,2.6-5.9,.443,1.0-2.8,.348,1.1-1.4,.812
187,Omer Asik,NO,76,26.1,7.3,2.8-5.4,.517,0.0-0.0,.000,1.7-3.0,.582
188,Channing Frye,ORL,75,24.9,7.3,2.5-6.5,.392,1.8-4.6,.393,0.4-0.5,.886
189,Brandan Wright,BOS/DAL/PHX,75,19.3,7.3,3.1-4.8,.642,0.0-0.0,.000,1.0-1.5,.696
190,Joakim Noah,CHI,67,30.6,7.2,2.8-6.4,.445,0.0-0.0,.000,1.6-2.6,.603
191,Jared Dudley,MIL,72,23.8,7.2,2.8-5.9,.468,1.0-2.7,.385,0.7-0.9,.716
192,Carl Landry,SAC,70,17.0,7.2,2.7-5.3,.515,0.0-0.0,.000,1.8-2.1,.820
193,Trevor Booker,UTAH,79,19.8,7.2,2.9-5.9,.487,0.4-1.1,.345,1.1-1.9,.581
194,Quincy Pondexter,NO/MEM,75,23.9,7.2,2.5-6.0,.421,1.2-3.3,.373,0.9-1.3,.740
195,Lance Thomas,NY/OKC,62,24.0,7.1,2.9-7.1,.412,0.1-0.4,.318,1.2-1.6,.727
196,Leandro Barbosa,GS,66,14.9,7.1,2.8-5.8,.474,0.7-1.7,.384,0.9-1.1,.784
197,Jason Terry,HOU,77,21.3,7.0,2.4-5.8,.422,1.6-4.2,.390,0.5-0.6,.813
198,John Henson,MIL,67,18.3,7.0,2.9-5.2,.566,0.0-0.0,.000,1.2-2.0,.569
199,Austin Rivers,NO/LAC,76,20.6,7.0,2.7-6.5,.409,0.5-1.7,.298,1.1-1.7,.675
200,Jusuf Nurkic,DEN,62,17.8,6.9,2.8-6.2,.446,0.0-0.0,.000,1.4-2.1,.636
201,Will Barton,DEN/POR,58,16.9,6.8,2.6-6.1,.425,0.4-1.5,.271,1.3-1.6,.787
202,C.J. McCollum,POR,62,15.7,6.8,2.6-5.9,.436,0.9-2.2,.396,0.8-1.2,.699
203,Chase Budinger,MIN,67,19.2,6.8,2.5-5.8,.433,0.8-2.1,.364,1.0-1.2,.827
204,Cory Joseph,SA,79,18.3,6.8,2.6-5.2,.504,0.2-0.6,.364,1.3-1.8,.734
205,Brian Roberts,CHA,72,18.5,6.7,2.4-6.3,.389,0.9-2.7,.321,0.9-1.0,.892
206,Darrell Arthur,DEN,58,17.0,6.6,2.7-6.6,.404,0.4-1.9,.236,0.8-1.0,.780
207,Aron Baynes,SA,70,16.0,6.6,2.6-4.7,.566,0.0-0.1,.250,1.3-1.5,.865
208,Kevin Seraphin,WSH,79,15.6,6.6,2.9-5.7,.513,0.0-0.0,.000,0.7-1.0,.707
209,Alexis Ajinca,NO,68,14.1,6.5,2.7-4.8,.550,0.0-0.0,.000,1.2-1.5,.818
210,Anthony Tolliver,DET/PHX,76,18.8,6.3,2.1-5.2,.410,1.4-3.8,.366,0.7-0.9,.783
211,Jerami Grant,PHI,65,21.2,6.3,1.9-5.4,.352,0.8-2.4,.314,1.8-3.0,.591
212,Andrew Bogut,GS,67,23.6,6.3,3.0-5.3,.563,0.0-0.0,.000,0.3-0.6,.524
213,Charlie Villanueva,DAL,64,10.6,6.3,2.3-5.7,.414,1.3-3.5,.376,0.3-0.5,.571
214,Ramon Sessions,SAC/WSH,64,18.6,6.3,2.0-5.2,.374,0.3-0.9,.317,2.1-2.7,.769
