RANK_scoring-per-game_2015,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
70,Eric Gordon,NO,61,33.1,13.4,4.7-11.4,.411,2.3-5.2,.448,1.8-2.2,.805
71,Khris Middleton,MIL,79,30.1,13.4,5.1-11.0,.467,1.4-3.4,.407,1.7-2.0,.859
72,Jared Sullinger,BOS,58,27.0,13.3,5.4-12.2,.439,0.9-3.2,.283,1.7-2.2,.744
73,Arron Afflalo,DEN/POR,78,32.1,13.3,4.8-11.3,.424,1.5-4.3,.354,2.1-2.5,.843
74,Deron Williams,BKN,68,31.1,13.0,4.4-11.3,.387,1.3-3.5,.367,3.0-3.5,.834
75,Trey Burke,UTAH,76,30.1,12.8,4.9-13.2,.368,1.6-5.1,.318,1.4-1.9,.752
76,Trevor Ariza,HOU,82,35.7,12.8,4.5-11.1,.402,2.4-6.8,.350,1.5-1.7,.853
77,Kentavious Caldwell-Pope,DET,82,31.5,12.7,4.8-11.9,.401,1.9-5.4,.345,1.3-1.9,.696
78,Giannis Antetokounmpo,MIL,81,31.4,12.7,4.7-9.6,.491,0.1-0.5,.159,3.2-4.3,.741
79,Rodney Stuckey,IND,71,26.4,12.6,4.7-10.6,.440,0.8-2.0,.390,2.5-3.0,.819
80,DeMarre Carroll,ATL,70,31.3,12.6,4.5-9.3,.487,1.7-4.3,.395,1.8-2.6,.702
81,Kenneth Faried,DEN,75,27.8,12.6,5.0-9.8,.507,0.0-0.1,.125,2.7-3.8,.691
82,Danilo Gallinari,DEN,59,24.2,12.4,3.9-9.6,.401,1.8-5.1,.355,2.9-3.2,.895
83,Josh Smith,DET/HOU,83,27.7,12.4,5.0-11.9,.419,0.9-2.7,.316,1.5-3.1,.498
84,Marcin Gortat,WSH,82,29.9,12.2,5.4-9.5,.566,0.0-0.0,.000,1.5-2.1,.703
85,Kyle Korver,ATL,75,32.2,12.1,3.9-8.0,.487,2.9-6.0,.492,1.4-1.6,.898
86,Ben McLemore,SAC,82,32.6,12.1,4.4-10.1,.437,1.7-4.8,.358,1.6-2.0,.813
87,Gerald Henderson,CHA,80,28.9,12.1,4.6-10.6,.437,0.6-1.7,.331,2.3-2.7,.848
88,J.R. Smith,CLE/NY,70,29.7,12.1,4.5-10.8,.417,2.3-6.1,.383,0.8-1.0,.750
89,Donatas Motiejunas,HOU,71,28.7,12.0,5.0-9.9,.504,0.7-1.9,.368,1.4-2.3,.602
90,Jonas Valanciunas,TOR,80,26.2,12.0,4.7-8.2,.572,0.0-0.0,.000,2.7-3.5,.786
91,Evan Fournier,ORL,58,28.6,12.0,4.4-9.9,.440,1.5-3.9,.378,1.8-2.5,.728
92,Jordan Hill,LAL,70,26.8,12.0,5.1-11.1,.459,0.0-0.2,.273,1.8-2.4,.738
93,Jarrett Jack,BKN,80,28.0,12.0,4.5-10.2,.439,0.5-1.8,.267,2.5-2.8,.881
94,Gerald Green,PHX,74,19.5,11.9,4.4-10.5,.416,1.9-5.2,.354,1.3-1.6,.825
95,Jordan Clarkson,LAL,59,25.0,11.9,4.5-10.1,.448,0.6-2.1,.314,2.2-2.7,.829
96,Paul Pierce,WSH,73,26.2,11.9,4.0-9.0,.447,1.6-4.2,.389,2.2-2.9,.781
97,Carlos Boozer,LAL,71,23.8,11.8,5.2-10.5,.499,0.0-0.0,.000,1.3-2.1,.627
98,Dion Waiters,CLE/OKC,80,27.6,11.8,4.7-11.8,.396,0.9-3.1,.297,1.5-2.2,.680
99,Danny Green,SA,81,28.5,11.7,4.0-9.1,.436,2.4-5.6,.418,1.4-1.6,.874
100,Draymond Green,GS,79,31.5,11.7,4.3-9.7,.443,1.4-4.2,.337,1.7-2.5,.660
101,David West,IND,66,28.7,11.7,4.9-10.4,.471,0.1-0.3,.200,1.8-2.4,.739
102,Aaron Brooks,CHI,82,23.0,11.6,4.2-10.0,.421,1.5-3.8,.387,1.8-2.1,.833
103,DeAndre Jordan,LAC,82,34.4,11.5,4.6-6.5,.710,0.0-0.0,.250,2.3-5.7,.397
104,Ersan Ilyasova,MIL,58,22.7,11.5,4.5-9.6,.472,1.3-3.3,.389,1.2-1.8,.645
105,Amar'e Stoudemire,DAL/NY,59,21.1,11.5,4.6-8.3,.557,0.0-0.1,.000,2.3-3.2,.720
106,Tim Hardaway Jr.,NY,70,24.0,11.5,4.0-10.2,.389,1.7-5.1,.342,1.8-2.2,.801
107,Corey Brewer,HOU/MIN,80,26.1,11.5,4.3-10.1,.426,0.8-2.9,.268,2.1-2.8,.743
108,O.J. Mayo,MIL,71,23.9,11.4,4.2-9.9,.422,1.4-3.9,.357,1.6-2.0,.827
109,Jeremy Lin,LAL,74,25.8,11.2,3.7-8.8,.424,0.9-2.4,.369,2.9-3.6,.795
110,Jodie Meeks,DET,60,24.4,11.1,3.7-8.9,.416,1.2-3.5,.349,2.4-2.7,.906
