RANK_assists_2015,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
1,Chris Paul,LAC,82,34.8,838,10.2,190,2.3,14.1,4.41
2,John Wall,WSH,79,35.9,792,10.0,304,3.8,13.4,2.61
3,Ty Lawson,DEN,75,35.5,720,9.6,185,2.5,13.0,3.89
4,Russell Westbrook,OKC,67,34.4,574,8.6,293,4.4,12.0,1.96
5,Rajon Rondo,BOS/DAL,68,29.7,538,7.9,210,3.1,12.8,2.56
6,Stephen Curry,GS,80,32.7,619,7.7,249,3.1,11.4,2.49
7,LeBron James,CLE,69,36.1,511,7.4,272,3.9,9.8,1.88
8,Jeff Teague,ATL,73,30.5,513,7.0,205,2.8,11.1,2.50
9,James Harden,HOU,81,36.8,565,7.0,321,4.0,9.1,1.76
10,Kyle Lowry,TOR,70,34.5,473,6.8,173,2.5,9.4,2.73
11,Michael Carter-Williams,MIL/PHI,66,32.6,442,6.7,253,3.8,9.9,1.75
12,Tyreke Evans,NO,79,34.1,521,6.6,246,3.1,9.3,2.12
13,Deron Williams,BKN,68,31.1,448,6.6,154,2.3,10.2,2.91
14,Elfrid Payton,ORL,82,30.4,533,6.5,203,2.5,10.3,2.63
15,Mo Williams,MIN/CHA,68,29.1,424,6.2,172,2.5,10.3,2.47
16,Damian Lillard,POR,82,35.7,507,6.2,222,2.7,8.3,2.28
17,Eric Bledsoe,PHX,81,34.6,493,6.1,274,3.4,8.5,1.80
18,Reggie Jackson,DET/OKC,77,29.5,462,6.0,186,2.4,9.8,2.48
19,Evan Turner,BOS,82,27.6,449,5.5,198,2.4,9.5,2.27
20,Mike Conley,MEM,70,31.8,375,5.4,156,2.2,8.1,2.40
21,Blake Griffin,LAC,67,35.2,354,5.3,152,2.3,7.2,2.33
22,Brandon Knight,MIL/PHX,63,32.3,330,5.2,189,3.0,7.8,1.75
23,Kyrie Irving,CLE,75,36.4,389,5.2,186,2.5,6.8,2.09
24,Kemba Walker,CHA,62,34.2,318,5.1,100,1.6,7.2,3.18
25,Tony Parker,SA,68,28.7,335,4.9,146,2.1,8.2,2.29
26,Dwyane Wade,MIA,62,31.8,299,4.8,209,3.4,7.3,1.43
27,Nicolas Batum,POR,71,33.5,341,4.8,132,1.9,6.9,2.58
28,Jarrett Jack,BKN,80,28.0,373,4.7,191,2.4,8.0,1.95
29,Joakim Noah,CHI,67,30.6,312,4.7,123,1.8,7.3,2.54
30,Jeremy Lin,LAL,74,25.8,339,4.6,166,2.2,8.5,2.04
31,Goran Dragic,MIA/PHX,78,33.8,350,4.5,173,2.2,6.4,2.02
32,Trey Burke,UTAH,76,30.1,328,4.3,124,1.6,6.9,2.65
33,D.J. Augustin,DET/OKC,82,24.0,353,4.3,145,1.8,8.6,2.43
34,Isaiah Thomas,BOS/PHX,67,25.8,284,4.2,143,2.1,7.9,1.99
35,Manu Ginobili,SA,70,22.7,293,4.2,154,2.2,8.9,1.90
36,Gordon Hayward,UTAH,76,34.4,313,4.1,206,2.7,5.7,1.52
37,Dennis Schroder,ATL,77,19.7,317,4.1,150,1.9,10.0,2.11
38,Monta Ellis,DAL,80,33.7,329,4.1,198,2.5,5.9,1.66
39,Victor Oladipo,ORL,72,35.7,295,4.1,204,2.8,5.5,1.45
40,Jameer Nelson,BOS/DAL/DEN,63,22.3,253,4.0,109,1.7,8.6,2.32
41,Lance Stephenson,CHA,61,25.8,240,3.9,128,2.1,7.3,1.88
42,Mario Chalmers,MIA,80,29.6,307,3.8,173,2.2,6.2,1.77
43,Marc Gasol,MEM,81,33.2,307,3.8,176,2.2,5.5,1.74
44,Eric Gordon,NO,61,33.1,229,3.8,122,2.0,5.4,1.88
45,Draymond Green,GS,79,31.5,291,3.7,133,1.7,5.6,2.19
46,Greivis Vasquez,TOR,82,24.3,302,3.7,119,1.5,7.3,2.54
47,Rudy Gay,SAC,68,35.4,250,3.7,183,2.7,5.0,1.37
48,Joe Johnson,BKN,80,34.9,292,3.7,137,1.7,5.0,2.13
49,Zach LaVine,MIN,77,24.7,276,3.6,193,2.5,7.0,1.43
50,DeMarcus Cousins,SAC,59,34.1,210,3.6,254,4.3,5.0,0.83
51,Steve Blake,POR,81,18.9,288,3.6,104,1.3,9.0,2.77
52,Andre Miller,SAC/WSH,81,15.5,284,3.5,104,1.3,10.9,2.73
53,DeMar DeRozan,TOR,60,35.0,210,3.5,137,2.3,4.8,1.53
54,Jordan Clarkson,LAL,59,25.0,206,3.5,96,1.6,6.7,2.15
55,J.J. Barea,DAL,77,17.7,263,3.4,70,0.9,9.3,3.76
56,Norris Cole,NO/MIA,75,24.4,255,3.4,99,1.3,6.7,2.58
57,David West,IND,66,28.7,223,3.4,120,1.8,5.6,1.86
58,Josh Smith,DET/HOU,83,27.7,277,3.3,206,2.5,5.8,1.34
59,Shaun Livingston,GS,78,18.8,259,3.3,102,1.3,8.5,2.54
60,Jimmy Butler,CHI,65,38.7,212,3.3,93,1.4,4.0,2.28
61,Al Horford,ATL,76,30.5,244,3.2,100,1.3,5.1,2.44
62,Aaron Brooks,CHI,82,23.0,261,3.2,157,1.9,6.6,1.66
63,Devin Harris,DAL,76,22.2,237,3.1,85,1.1,6.8,2.79
64,Marcus Smart,BOS,67,27.0,208,3.1,90,1.3,5.5,2.31
65,Rodney Stuckey,IND,71,26.4,219,3.1,118,1.7,5.6,1.86
66,Bradley Beal,WSH,63,33.4,194,3.1,123,2.0,4.4,1.58
67,Paul Millsap,ATL,73,32.7,223,3.1,166,2.3,4.5,1.34
68,Matthew Dellavedova,CLE,67,20.6,204,3.0,61,0.9,7.1,3.34
69,Jerryd Bayless,MIL,77,22.3,233,3.0,133,1.7,6.5,1.75
70,Tim Duncan,SA,77,28.9,230,3.0,131,1.7,5.0,1.76
71,Shane Larkin,NY,76,24.5,226,3.0,83,1.1,5.8,2.72
72,Andre Iguodala,GS,77,26.9,228,3.0,88,1.1,5.3,2.59
73,Klay Thompson,GS,77,31.9,222,2.9,149,1.9,4.3,1.49
74,Boris Diaw,SA,81,24.5,233,2.9,126,1.6,5.6,1.85
75,Ramon Sessions,SAC/WSH,64,18.6,182,2.8,86,1.3,7.4,2.12
76,J.R. Smith,CLE/NY,70,29.7,195,2.8,97,1.4,4.5,2.01
77,Beno Udrih,MEM,79,18.9,220,2.8,89,1.1,7.1,2.47
78,O.J. Mayo,MIL,71,23.9,197,2.8,128,1.8,5.6,1.54
79,Ray McCallum,SAC,68,21.1,188,2.8,85,1.3,6.3,2.21
80,Pau Gasol,CHI,78,34.4,210,2.7,158,2.0,3.8,1.33
81,Andrew Bogut,GS,67,23.6,180,2.7,106,1.6,5.5,1.70
82,Kyle Korver,ATL,75,32.2,196,2.6,107,1.4,3.9,1.83
83,Gerald Henderson,CHA,80,28.9,206,2.6,110,1.4,4.3,1.87
