RANK_assists_2015,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
84,Giannis Antetokounmpo,MIL,81,31.4,207,2.6,173,2.1,3.9,1.20
85,Pablo Prigioni,HOU/NY,67,17.9,171,2.6,62,0.9,6.9,2.76
86,Trevor Ariza,HOU,82,35.7,209,2.5,141,1.7,3.4,1.48
87,Nick Calathes,MEM,58,14.4,146,2.5,61,1.1,8.4,2.39
88,Kawhi Leonard,SA,64,31.8,161,2.5,97,1.5,3.8,1.66
89,Jamal Crawford,LAC,64,26.6,158,2.5,92,1.4,4.5,1.72
90,Chandler Parsons,DAL,66,33.1,161,2.4,96,1.5,3.5,1.68
91,Zaza Pachulia,MIL,73,23.7,178,2.4,133,1.8,4.9,1.34
92,Dante Exum,UTAH,82,22.2,198,2.4,118,1.4,5.2,1.68
93,Cory Joseph,SA,79,18.3,188,2.4,67,0.8,6.2,2.81
94,Markieff Morris,PHX,82,31.5,192,2.3,170,2.1,3.6,1.13
95,Wesley Matthews,POR,60,33.7,139,2.3,81,1.4,3.3,1.72
96,Jared Sullinger,BOS,58,27.0,134,2.3,78,1.3,4.1,1.72
97,Khris Middleton,MIL,79,30.1,182,2.3,113,1.4,3.7,1.61
98,Joe Ingles,UTAH,79,21.2,182,2.3,98,1.2,5.2,1.86
99,Thaddeus Young,MIN/BKN,76,32.0,173,2.3,117,1.5,3.4,1.48
100,Brian Roberts,CHA,72,18.5,162,2.3,57,0.8,5.8,2.84
101,Solomon Hill,IND,82,29.0,184,2.2,115,1.4,3.7,1.60
102,Kirk Hinrich,CHI,66,24.4,148,2.2,73,1.1,4.4,2.03
103,Kevin Love,CLE,75,33.8,168,2.2,122,1.6,3.2,1.38
104,Anthony Davis,NO,68,36.1,149,2.2,95,1.4,2.9,1.57
105,Iman Shumpert,CLE/NY,62,24.9,135,2.2,91,1.5,4.2,1.48
106,Corey Brewer,HOU/MIN,80,26.1,173,2.2,131,1.6,4.0,1.32
107,Zach Randolph,MEM,71,32.5,153,2.2,156,2.2,3.2,0.98
108,Andrew Wiggins,MIN,82,36.2,170,2.1,177,2.2,2.7,0.96
109,Evan Fournier,ORL,58,28.6,120,2.1,82,1.4,3.5,1.46
110,Greg Monroe,DET,69,31.0,142,2.1,149,2.2,3.2,0.95
111,Louis Williams,TOR,80,25.2,164,2.1,101,1.3,3.9,1.62
112,Austin Rivers,NO/LAC,76,20.6,155,2.0,65,0.9,4.8,2.38
113,Dion Waiters,CLE/OKC,80,27.6,163,2.0,113,1.4,3.5,1.44
114,Gorgui Dieng,MIN,73,30.0,146,2.0,126,1.7,3.2,1.16
115,Nikola Vucevic,ORL,74,34.2,147,2.0,148,2.0,2.8,0.99
116,Paul Pierce,WSH,73,26.2,144,2.0,92,1.3,3.6,1.57
117,Courtney Lee,MEM,77,30.6,151,2.0,78,1.0,3.1,1.94
118,Danny Green,SA,81,28.5,158,2.0,93,1.1,3.3,1.70
119,Luol Deng,MIA,72,33.6,139,1.9,108,1.5,2.8,1.29
120,Patrick Patterson,TOR,81,26.6,155,1.9,54,0.7,3.5,2.87
121,Jason Terry,HOU,77,21.3,147,1.9,74,1.0,4.3,1.99
122,Dirk Nowitzki,DAL,77,29.6,143,1.9,82,1.1,3.0,1.74
123,Nene Hilario,WSH,67,25.3,123,1.8,124,1.9,3.5,0.99
124,Donatas Motiejunas,HOU,71,28.7,130,1.8,123,1.7,3.1,1.06
125,Tobias Harris,ORL,68,34.8,124,1.8,115,1.7,2.5,1.08
126,Tim Hardaway Jr.,NY,70,24.0,127,1.8,82,1.2,3.6,1.55
127,Mike Dunleavy,CHI,63,29.2,114,1.8,60,1.0,3.0,1.90
128,Jared Dudley,MIL,72,23.8,130,1.8,62,0.9,3.6,2.10
129,J.J. Redick,LAC,78,30.9,137,1.8,95,1.2,2.7,1.44
130,Avery Bradley,BOS,77,31.5,135,1.8,109,1.4,2.7,1.24
131,LaMarcus Aldridge,POR,71,35.4,124,1.7,122,1.7,2.4,1.02
132,Al Jefferson,CHA,65,30.6,113,1.7,68,1.0,2.7,1.66
133,Wilson Chandler,DEN,78,31.7,134,1.7,110,1.4,2.6,1.22
134,Jeff Green,BOS/MEM,78,31.5,134,1.7,108,1.4,2.6,1.24
135,Jason Smith,NY,82,21.8,140,1.7,104,1.3,3.8,1.35
136,Ben McLemore,SAC,82,32.6,140,1.7,138,1.7,2.5,1.01
137,Nerlens Noel,PHI,75,30.8,128,1.7,146,1.9,2.7,0.88
138,Kelly Olynyk,BOS,64,22.3,109,1.7,98,1.5,3.7,1.11
139,DeMarre Carroll,ATL,70,31.3,118,1.7,75,1.1,2.6,1.57
140,Arron Afflalo,DEN/POR,78,32.1,129,1.7,116,1.5,2.5,1.11
141,Marcus Morris,PHX,81,25.2,133,1.6,73,0.9,3.1,1.82
142,Wesley Johnson,LAL,76,29.5,124,1.6,87,1.1,2.7,1.43
143,Wayne Ellington,LAL,65,25.8,105,1.6,50,0.8,3.0,2.10
144,Cody Zeller,CHA,62,24.0,100,1.6,62,1.0,3.2,1.61
145,Tayshaun Prince,BOS/DET/MEM,58,24.1,93,1.6,35,0.6,3.2,2.66
146,Luc Richard Mbah a Moute,PHI,67,28.6,106,1.6,99,1.5,2.7,1.07
147,P.J. Tucker,PHX,78,30.6,122,1.6,96,1.2,2.5,1.27
148,Amir Johnson,TOR,75,26.4,117,1.6,110,1.5,2.8,1.06
149,Omri Casspi,SAC,67,21.1,102,1.5,88,1.3,3.5,1.16
150,Marco Belinelli,SA,62,22.4,94,1.5,61,1.0,3.3,1.54
151,Derrick Favors,UTAH,74,30.8,112,1.5,121,1.6,2.4,0.93
152,Matt Barnes,LAC,76,29.9,114,1.5,87,1.1,2.4,1.31
153,Robert Covington,PHI,70,27.9,105,1.5,128,1.8,2.6,0.82
154,Leandro Barbosa,GS,66,14.9,99,1.5,44,0.7,4.8,2.25
155,Jordan Hill,LAL,70,26.8,103,1.5,106,1.5,2.6,0.97
156,Harrison Barnes,GS,82,28.3,116,1.4,71,0.9,2.4,1.63
157,Danilo Gallinari,DEN,59,24.2,83,1.4,57,1.0,2.8,1.46
158,Will Barton,DEN/POR,58,16.9,81,1.4,61,1.1,4.0,1.33
159,Tyler Zeller,BOS,82,21.1,113,1.4,76,0.9,3.1,1.49
160,Tony Allen,MEM,63,26.2,86,1.4,86,1.4,2.5,1.00
161,Nick Collison,OKC,66,16.7,90,1.4,45,0.7,3.9,2.00
162,James Johnson,TOR,70,19.6,95,1.4,79,1.1,3.3,1.20
163,Carlos Boozer,LAL,71,23.8,95,1.3,92,1.3,2.7,1.03
164,Kentavious Caldwell-Pope,DET,82,31.5,109,1.3,94,1.1,2.0,1.16
165,Rudy Gobert,UTAH,82,26.3,109,1.3,111,1.4,2.4,0.98
166,Jodie Meeks,DET,60,24.4,79,1.3,57,1.0,2.6,1.39
167,Luis Scola,IND,81,20.5,105,1.3,94,1.2,3.0,1.12
168,Marvin Williams,CHA,78,26.1,100,1.3,60,0.8,2.4,1.67
169,Brandon Bass,BOS,82,23.5,104,1.3,83,1.0,2.6,1.25
170,Channing Frye,ORL,75,24.9,94,1.3,78,1.0,2.4,1.21
171,Quincy Pondexter,NO/MEM,75,23.9,94,1.3,51,0.7,2.5,1.84
172,Gerald Green,PHX,74,19.5,91,1.2,104,1.4,3.0,0.88
173,Cole Aldrich,NY,61,16.0,75,1.2,59,1.0,3.7,1.27
174,Jerami Grant,PHI,65,21.2,79,1.2,85,1.3,2.8,0.93
175,Spencer Hawes,LAC,73,17.5,88,1.2,61,0.8,3.3,1.44
176,Hollis Thompson,PHI,71,25.0,85,1.2,66,0.9,2.3,1.29
177,Vince Carter,MEM,66,16.5,79,1.2,43,0.7,3.5,1.84
178,Ed Davis,LAL,79,23.3,94,1.2,58,0.7,2.5,1.62
179,Kenneth Faried,DEN,75,27.8,89,1.2,118,1.6,2.0,0.75
180,Marcin Gortat,WSH,82,29.9,97,1.2,100,1.2,1.9,0.97
181,Nikola Mirotic,CHI,82,20.2,97,1.2,89,1.1,2.8,1.09
182,K.J. McDaniels,HOU/PHI,62,21.8,72,1.2,105,1.7,2.6,0.69
183,Lavoy Allen,IND,63,17.0,73,1.2,40,0.6,3.3,1.83
184,Jae Crowder,BOS/DAL,82,20.1,94,1.1,49,0.6,2.7,1.92
185,Taj Gibson,CHI,62,27.3,71,1.1,77,1.2,2.0,0.92
186,Alan Anderson,BKN,74,23.6,83,1.1,60,0.8,2.3,1.38
187,Tyson Chandler,DAL,75,30.5,84,1.1,105,1.4,1.8,0.80
188,Lance Thomas,NY/OKC,62,24.0,69,1.1,74,1.2,2.2,0.93
189,Roy Hibbert,IND,76,25.3,84,1.1,107,1.4,2.1,0.79
190,Mike Scott,ATL,68,16.5,75,1.1,39,0.6,3.2,1.92
191,Henry Sims,PHI,73,19.2,79,1.1,99,1.4,2.7,0.80
192,C.J. Miles,IND,70,26.3,75,1.1,73,1.0,2.0,1.03
193,Kyle Singler,DET/OKC,80,21.8,85,1.1,55,0.7,2.3,1.55
194,Trevor Booker,UTAH,79,19.8,83,1.1,88,1.1,2.5,0.94
195,Jason Thompson,SAC,81,24.6,85,1.0,84,1.0,2.0,1.01
196,Terrence Ross,TOR,82,25.5,86,1.0,69,0.8,2.0,1.25
197,Andre Roberson,OKC,67,19.2,70,1.0,46,0.7,2.6,1.52
198,JaKarr Sampson,PHI,74,15.3,77,1.0,76,1.0,3.3,1.01
199,Kent Bazemore,ATL,75,17.7,78,1.0,73,1.0,2.8,1.07
200,C.J. McCollum,POR,62,15.7,64,1.0,48,0.8,3.2,1.33
201,Caron Butler,DET,78,20.8,79,1.0,49,0.6,2.3,1.61
202,Quincy Acy,NY,68,18.9,68,1.0,60,0.9,2.5,1.13
203,Darrell Arthur,DEN,58,17.0,57,1.0,47,0.8,2.8,1.21
204,Ersan Ilyasova,MIL,58,22.7,56,1.0,45,0.8,2.0,1.24
205,Chase Budinger,MIN,67,19.2,64,1.0,49,0.7,2.4,1.31
206,Omer Asik,NO,76,26.1,72,0.9,95,1.3,1.7,0.76
207,Marreese Speights,GS,76,15.9,72,0.9,82,1.1,2.9,0.88
208,Jonas Jerebko,BOS/DET,75,16.4,71,0.9,44,0.6,2.8,1.61
209,Steven Adams,OKC,70,25.3,66,0.9,99,1.4,1.8,0.67
210,Robin Lopez,POR,59,27.8,55,0.9,73,1.2,1.6,0.75
211,Nik Stauskas,SAC,73,15.4,67,0.9,40,0.5,2.9,1.68
212,Mason Plumlee,BKN,82,21.3,74,0.9,106,1.3,2.0,0.70
213,Ryan Anderson,NO,61,27.5,55,0.9,62,1.0,1.6,0.89
214,Kris Humphries,WSH,64,21.0,57,0.9,46,0.7,2.0,1.24
215,John Henson,MIL,67,18.3,59,0.9,87,1.3,2.3,0.68
216,Chris Kaman,POR,74,18.9,65,0.9,108,1.5,2.2,0.60
217,Otto Porter Jr.,WSH,74,19.4,65,0.9,52,0.7,2.2,1.25
218,Bojan Bogdanovic,BKN,78,23.8,68,0.9,78,1.0,1.8,0.87
219,Tony Snell,CHI,72,19.6,62,0.9,48,0.7,2.1,1.29
220,Serge Ibaka,OKC,64,33.1,55,0.9,97,1.5,1.2,0.57
221,Rasual Butler,WSH,75,20.1,63,0.8,48,0.6,2.0,1.31
222,Richard Jefferson,DAL,74,16.8,61,0.8,52,0.7,2.4,1.17
223,Robert Sacre,LAL,67,16.9,55,0.8,36,0.5,2.3,1.53
224,Justin Holiday,GS,59,11.1,48,0.8,29,0.5,3.5,1.66
225,Anthony Morrow,OKC,74,24.4,60,0.8,38,0.5,1.6,1.58
226,Jusuf Nurkic,DEN,62,17.8,50,0.8,86,1.4,2.2,0.58
227,Al-Farouq Aminu,DAL,74,18.5,59,0.8,55,0.7,2.1,1.07
228,JJ Hickson,DEN,73,19.3,57,0.8,96,1.3,1.9,0.59
229,Damjan Rudez,IND,68,15.4,53,0.8,47,0.7,2.4,1.13
230,Pero Antic,ATL,63,16.5,49,0.8,49,0.8,2.3,1.00
231,Anthony Tolliver,DET/PHX,76,18.8,59,0.8,51,0.7,2.0,1.16
232,James Ennis,MIA,62,17.0,48,0.8,39,0.6,2.2,1.23
233,Amar'e Stoudemire,DAL/NY,59,21.1,45,0.8,78,1.3,1.7,0.58
234,Dante Cunningham,NO,66,25.0,50,0.8,35,0.5,1.5,1.43
235,Kendrick Perkins,CLE/OKC,68,16.9,51,0.8,95,1.4,2.1,0.54
236,Kevin Seraphin,WSH,79,15.6,59,0.7,98,1.2,2.3,0.60
237,DeAndre Jordan,LAC,82,34.4,61,0.7,109,1.3,1.0,0.56
238,Udonis Haslem,MIA,62,16.0,46,0.7,41,0.7,2.2,1.12
239,Enes Kanter,OKC/UTAH,75,28.5,55,0.7,145,1.9,1.2,0.38
240,Jon Leuer,MEM,63,13.1,46,0.7,35,0.6,2.7,1.31
241,Chris Andersen,MIA,60,18.9,43,0.7,40,0.7,1.8,1.08
242,Shawne Williams,DET/MIA,63,17.3,44,0.7,30,0.5,1.9,1.47
243,Brook Lopez,BKN,72,29.2,50,0.7,104,1.4,1.1,0.48
244,Alexis Ajinca,NO,68,14.1,47,0.7,69,1.0,2.4,0.68
245,Timofey Mozgov,CLE/DEN,81,25.3,55,0.7,116,1.4,1.3,0.47
246,Derrick Williams,SAC,74,19.8,50,0.7,56,0.8,1.6,0.89
247,Andre Drummond,DET,82,30.5,55,0.7,120,1.5,1.1,0.46
248,Tarik Black,HOU/LAL,63,19.0,42,0.7,48,0.8,1.7,0.88
249,Matt Bonner,SA,72,13.0,47,0.7,11,0.2,2.4,4.27
250,Hedo Turkoglu,LAC,62,11.4,37,0.6,29,0.5,2.5,1.28
251,Brandan Wright,BOS/DAL/PHX,75,19.3,41,0.5,34,0.5,1.4,1.21
252,Ian Mahinmi,IND,61,18.8,33,0.5,59,1.0,1.4,0.56
253,Glen Davis,LAC,74,12.2,39,0.5,39,0.5,2.1,1.00
254,Aron Baynes,SA,70,16.0,35,0.5,65,0.9,1.5,0.54
255,Jonas Valanciunas,TOR,80,26.2,39,0.5,109,1.4,0.9,0.36
256,Tristan Thompson,CLE,82,26.8,39,0.5,83,1.0,0.9,0.47
257,Miles Plumlee,MIL/PHX,73,16.4,34,0.5,51,0.7,1.4,0.67
258,Alex Len,PHX,69,22.0,32,0.5,74,1.1,1.0,0.43
259,Kosta Koufos,MEM,81,16.6,37,0.5,69,0.9,1.3,0.54
260,Luke Babbitt,NO,63,13.2,24,0.4,26,0.4,1.4,0.92
261,Carl Landry,SAC,70,17.0,26,0.4,54,0.8,1.0,0.48
262,Joey Dorsey,HOU,69,12.4,25,0.4,41,0.6,1.4,0.61
263,Jason Maxiell,CHA,61,14.4,19,0.3,29,0.5,1.0,0.66
264,Charlie Villanueva,DAL,64,10.6,19,0.3,28,0.4,1.3,0.68
265,Tyler Hansbrough,TOR,74,14.3,21,0.3,20,0.3,1.0,1.05
266,Bismack Biyombo,CHA,64,19.4,16,0.3,52,0.8,0.6,0.31
267,Dewayne Dedmon,ORL,59,14.3,9,0.2,51,0.9,0.5,0.18
