RANK_rebounds_2015,PLAYER,TEAM,GP,MPG,OFF,ORPG,DEF,DRPG,REB,RPG,RP48
1,DeAndre Jordan,LAC,82,34.4,397,4.8,829,10.1,1226,15.0,20.9
2,Andre Drummond,DET,82,30.5,437,5.3,667,8.1,1104,13.5,21.2
3,DeMarcus Cousins,SAC,59,34.1,185,3.1,562,9.5,747,12.7,17.8
4,Pau Gasol,CHI,78,34.4,220,2.8,699,9.0,919,11.8,16.5
5,Tyson Chandler,DAL,75,30.5,294,3.9,570,7.6,864,11.5,18.1
6,Nikola Vucevic,ORL,74,34.2,238,3.2,572,7.7,810,10.9,15.4
7,Zach Randolph,MEM,71,32.5,225,3.2,522,7.4,747,10.5,15.6
8,Anthony Davis,NO,68,36.1,173,2.5,523,7.7,696,10.2,13.6
9,LaMarcus Aldridge,POR,71,35.4,177,2.5,549,7.7,726,10.2,13.9
10,Greg Monroe,DET,69,31.0,229,3.3,475,6.9,704,10.2,15.8
11,Omer Asik,NO,76,26.1,244,3.2,504,6.6,748,9.8,18.1
12,Kevin Love,CLE,75,33.8,142,1.9,589,7.9,731,9.7,13.9
13,Joakim Noah,CHI,67,30.6,219,3.3,427,6.4,646,9.6,15.1
14,Rudy Gobert,UTAH,82,26.3,265,3.2,510,6.2,775,9.5,17.2
15,Tim Duncan,SA,77,28.9,170,2.2,534,6.9,704,9.1,15.2
16,Enes Kanter,OKC/UTAH,75,28.5,277,3.7,394,5.3,671,8.9,15.1
17,Kenneth Faried,DEN,75,27.8,242,3.2,426,5.7,668,8.9,15.4
18,Marcin Gortat,WSH,82,29.9,180,2.2,537,6.5,717,8.7,14.0
19,Jonas Valanciunas,TOR,80,26.2,215,2.7,478,6.0,693,8.7,15.9
20,Al Jefferson,CHA,65,30.6,99,1.5,449,6.9,548,8.4,13.2
21,Gorgui Dieng,MIN,73,30.0,223,3.1,386,5.3,609,8.3,13.3
22,Derrick Favors,UTAH,74,30.8,196,2.6,411,5.6,607,8.2,12.8
23,Draymond Green,GS,79,31.5,114,1.4,533,6.7,647,8.2,12.5
24,Nerlens Noel,PHI,75,30.8,185,2.5,426,5.7,611,8.1,12.7
25,Andrew Bogut,GS,67,23.6,141,2.1,402,6.0,543,8.1,16.5
26,Tristan Thompson,CLE,82,26.8,274,3.3,383,4.7,657,8.0,14.4
27,Jordan Hill,LAL,70,26.8,174,2.5,382,5.5,556,7.9,14.2
28,Paul Millsap,ATL,73,32.7,139,1.9,431,5.9,570,7.8,11.4
29,Serge Ibaka,OKC,64,33.1,135,2.1,364,5.7,499,7.8,11.3
30,Marc Gasol,MEM,81,33.2,115,1.4,515,6.4,630,7.8,11.3
31,Jared Sullinger,BOS,58,27.0,147,2.5,294,5.1,441,7.6,13.5
32,Ed Davis,LAL,79,23.3,230,2.9,370,4.7,600,7.6,15.7
33,Blake Griffin,LAC,67,35.2,126,1.9,382,5.7,508,7.6,10.3
34,Steven Adams,OKC,70,25.3,199,2.8,324,4.6,523,7.5,14.2
35,Brook Lopez,BKN,72,29.2,214,3.0,321,4.5,535,7.4,12.2
36,Timofey Mozgov,CLE/DEN,81,25.3,203,2.5,388,4.8,591,7.3,13.9
37,Russell Westbrook,OKC,67,34.4,124,1.9,364,5.4,488,7.3,10.2
38,Kawhi Leonard,SA,64,31.8,85,1.3,376,5.9,461,7.2,10.9
39,Al Horford,ATL,76,30.5,131,1.7,413,5.4,544,7.2,11.3
40,Roy Hibbert,IND,76,25.3,156,2.1,384,5.1,540,7.1,13.5
41,Zaza Pachulia,MIL,73,23.7,197,2.7,303,4.2,500,6.8,13.9
42,David West,IND,66,28.7,108,1.6,341,5.2,449,6.8,11.4
43,Carlos Boozer,LAL,71,23.8,111,1.6,371,5.2,482,6.8,13.7
44,Giannis Antetokounmpo,MIL,81,31.4,100,1.2,442,5.5,542,6.7,10.2
45,Robin Lopez,POR,59,27.8,190,3.2,204,3.5,394,6.7,11.5
46,Alex Len,PHX,69,22.0,142,2.1,312,4.5,454,6.6,14.4
47,Jason Thompson,SAC,81,24.6,139,1.7,391,4.8,530,6.5,12.8
48,Chris Kaman,POR,74,18.9,149,2.0,335,4.5,484,6.5,16.6
49,Kris Humphries,WSH,64,21.0,118,1.8,298,4.7,416,6.5,14.8
50,Luis Scola,IND,81,20.5,138,1.7,388,4.8,526,6.5,15.2
51,P.J. Tucker,PHX,78,30.6,114,1.5,388,5.0,502,6.4,10.1
52,Taj Gibson,CHI,62,27.3,162,2.6,234,3.8,396,6.4,11.2
53,Josh Smith,DET/HOU,83,27.7,152,1.8,378,4.6,530,6.4,11.1
54,Bismack Biyombo,CHA,64,19.4,159,2.5,248,3.9,407,6.4,15.7
55,Tobias Harris,ORL,68,34.8,73,1.1,357,5.3,430,6.3,8.7
56,Mason Plumlee,BKN,82,21.3,175,2.1,337,4.1,512,6.2,14.1
57,JJ Hickson,DEN,73,19.3,150,2.1,302,4.1,452,6.2,15.4
58,Markieff Morris,PHX,82,31.5,110,1.3,396,4.8,506,6.2,9.4
59,Jusuf Nurkic,DEN,62,17.8,125,2.0,257,4.1,382,6.2,16.6
60,Wilson Chandler,DEN,78,31.7,96,1.2,379,4.9,475,6.1,9.2
61,Amir Johnson,TOR,75,26.4,159,2.1,297,4.0,456,6.1,11.1
62,LeBron James,CLE,69,36.1,51,0.7,365,5.3,416,6.0,8.0
63,Dirk Nowitzki,DAL,77,29.6,44,0.6,413,5.4,457,5.9,9.6
64,Donatas Motiejunas,HOU,71,28.7,137,1.9,284,4.0,421,5.9,9.9
65,Rudy Gay,SAC,68,35.4,98,1.4,301,4.4,399,5.9,8.0
66,Nicolas Batum,POR,71,33.5,62,0.9,354,5.0,416,5.9,8.4
67,Tarik Black,HOU/LAL,63,19.0,142,2.3,226,3.6,368,5.8,14.8
68,Cody Zeller,CHA,62,24.0,97,1.6,265,4.3,362,5.8,11.7
69,Ian Mahinmi,IND,61,18.8,105,1.7,251,4.1,356,5.8,14.9
70,Jimmy Butler,CHI,65,38.7,114,1.8,265,4.1,379,5.8,7.2
71,Tyler Zeller,BOS,82,21.1,146,1.8,319,3.9,465,5.7,12.9
72,James Harden,HOU,81,36.8,75,0.9,384,4.7,459,5.7,7.4
73,Trevor Ariza,HOU,82,35.7,77,0.9,382,4.7,459,5.6,7.5
74,Amar'e Stoudemire,DAL/NY,59,21.1,110,1.9,219,3.7,329,5.6,12.7
75,Cole Aldrich,NY,61,16.0,101,1.7,237,3.9,338,5.5,16.6
76,Harrison Barnes,GS,82,28.3,117,1.4,336,4.1,453,5.5,9.4
77,Rajon Rondo,BOS/DAL,68,29.7,73,1.1,300,4.4,373,5.5,8.9
78,Thaddeus Young,MIN/BKN,76,32.0,127,1.7,284,3.7,411,5.4,8.1
79,Michael Carter-Williams,MIL/PHI,66,32.6,64,1.0,289,4.4,353,5.3,7.9
80,Patrick Patterson,TOR,81,26.6,127,1.6,306,3.8,433,5.3,9.6
81,DeMarre Carroll,ATL,70,31.3,99,1.4,273,3.9,372,5.3,8.2
82,Tyreke Evans,NO,79,34.1,82,1.0,334,4.2,416,5.3,7.4
