RANK_blocks_2015,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
61,Nikola Vucevic,ORL,74,34.2,54,220,0.73,1.02,0.25
62,David West,IND,66,28.7,48,160,0.73,1.22,0.30
63,Spencer Hawes,LAC,73,17.5,53,173,0.73,2.00,0.31
64,Jared Sullinger,BOS,58,27.0,42,153,0.72,1.29,0.27
65,Jason Maxiell,CHA,61,14.4,44,96,0.72,2.41,0.46
66,Omer Asik,NO,76,26.1,54,144,0.71,1.31,0.38
67,LeBron James,CLE,69,36.1,49,135,0.71,0.94,0.36
68,Jason Thompson,SAC,81,24.6,57,239,0.70,1.37,0.24
69,Lavoy Allen,IND,63,17.0,42,102,0.67,1.88,0.41
70,Nikola Mirotic,CHI,82,20.2,54,172,0.66,1.57,0.31
71,Matt Barnes,LAC,76,29.9,50,240,0.66,1.06,0.21
72,Amar'e Stoudemire,DAL/NY,59,21.1,38,161,0.64,1.47,0.24
73,Robert Sacre,LAL,67,16.9,43,121,0.64,1.82,0.36
74,Tyler Zeller,BOS,82,21.1,52,205,0.63,1.44,0.25
75,Kendrick Perkins,CLE/OKC,68,16.9,42,162,0.62,1.76,0.26
76,Andrew Wiggins,MIN,82,36.2,50,190,0.61,0.81,0.26
77,Kelly Olynyk,BOS,64,22.3,39,213,0.61,1.31,0.18
78,Rudy Gay,SAC,68,35.4,41,157,0.60,0.82,0.26
79,Wesley Johnson,LAL,76,29.5,45,162,0.59,0.96,0.28
80,John Wall,WSH,79,35.9,45,180,0.57,0.76,0.25
81,Nicolas Batum,POR,71,33.5,40,106,0.56,0.81,0.38
82,Dante Cunningham,NO,66,25.0,37,101,0.56,1.08,0.37
83,Kyle Korver,ATL,75,32.2,42,140,0.56,0.83,0.30
84,Eric Bledsoe,PHX,81,34.6,45,189,0.56,0.77,0.24
85,Jimmy Butler,CHI,65,38.7,36,108,0.55,0.69,0.33
86,Patrick Patterson,TOR,81,26.6,44,149,0.54,0.98,0.30
87,Jason Smith,NY,82,21.8,44,205,0.54,1.18,0.21
88,Tobias Harris,ORL,68,34.8,36,134,0.53,0.73,0.27
89,Blake Griffin,LAC,67,35.2,35,196,0.52,0.71,0.18
90,Channing Frye,ORL,75,24.9,39,191,0.52,1.00,0.20
91,Kevin Love,CLE,75,33.8,39,140,0.52,0.74,0.28
92,Trevor Booker,UTAH,79,19.8,41,144,0.52,1.26,0.28
93,Kemba Walker,CHA,62,34.2,31,92,0.50,0.70,0.34
94,Greg Monroe,DET,69,31.0,34,148,0.49,0.76,0.23
95,JJ Hickson,DEN,73,19.3,35,136,0.48,1.19,0.26
96,Donatas Motiejunas,HOU,71,28.7,34,203,0.48,0.80,0.17
97,Tony Allen,MEM,63,26.2,30,166,0.48,0.87,0.18
98,Markieff Morris,PHX,82,31.5,39,245,0.48,0.73,0.16
99,Tyreke Evans,NO,79,34.1,37,198,0.47,0.66,0.19
100,Marvin Williams,CHA,78,26.1,36,146,0.46,0.85,0.25
101,Michael Carter-Williams,MIL/PHI,66,32.6,30,167,0.45,0.67,0.18
102,Darrell Arthur,DEN,58,17.0,26,146,0.45,1.26,0.18
103,Marreese Speights,GS,76,15.9,34,189,0.45,1.35,0.18
104,Robert Covington,PHI,70,27.9,31,189,0.44,0.76,0.16
105,Kent Bazemore,ATL,75,17.7,33,127,0.44,1.20,0.26
106,Jeff Green,BOS/MEM,78,31.5,34,147,0.44,0.67,0.23
107,Andre Roberson,OKC,67,19.2,29,141,0.43,1.08,0.21
108,Jeremy Lin,LAL,74,25.8,32,189,0.43,0.81,0.17
109,Dirk Nowitzki,DAL,77,29.6,33,160,0.43,0.69,0.21
110,Jeff Teague,ATL,73,30.5,31,139,0.42,0.67,0.22
111,Henry Sims,PHI,73,19.2,30,135,0.41,1.03,0.22
112,Otto Porter Jr.,WSH,74,19.4,30,97,0.41,1.01,0.31
113,Gordon Hayward,UTAH,76,34.4,30,131,0.39,0.55,0.23
114,Kris Humphries,WSH,64,21.0,25,130,0.39,0.89,0.19
115,Brandon Bass,BOS,82,23.5,32,140,0.39,0.80,0.23
116,Enes Kanter,OKC/UTAH,75,28.5,29,189,0.39,0.65,0.15
117,Tarik Black,HOU/LAL,63,19.0,24,158,0.38,0.96,0.15
118,Nick Collison,OKC,66,16.7,25,156,0.38,1.09,0.16
119,Wilson Chandler,DEN,78,31.7,29,231,0.37,0.56,0.13
120,C.J. Miles,IND,70,26.3,26,132,0.37,0.68,0.20
121,Hollis Thompson,PHI,71,25.0,26,141,0.37,0.70,0.18
122,Joey Dorsey,HOU,69,12.4,25,157,0.36,1.41,0.16
123,JaKarr Sampson,PHI,74,15.3,26,135,0.35,1.10,0.19
124,Charlie Villanueva,DAL,64,10.6,22,64,0.34,1.56,0.34
125,Danilo Gallinari,DEN,59,24.2,20,94,0.34,0.67,0.21
126,Dwyane Wade,MIA,62,31.8,21,105,0.34,0.51,0.20
127,Mike Dunleavy,CHI,63,29.2,21,123,0.33,0.55,0.17
128,Shawne Williams,DET/MIA,63,17.3,21,135,0.33,0.93,0.16
129,Thaddeus Young,MIN/BKN,76,32.0,25,171,0.33,0.49,0.15
130,Paul Pierce,WSH,73,26.2,24,160,0.33,0.60,0.15
131,Nene Hilario,WSH,67,25.3,22,180,0.33,0.62,0.12
132,Ryan Anderson,NO,61,27.5,20,113,0.33,0.57,0.18
133,Ersan Ilyasova,MIL,58,22.7,19,149,0.33,0.69,0.13
134,Will Barton,DEN/POR,58,16.9,19,70,0.33,0.93,0.27
135,Andre Iguodala,GS,77,26.9,25,100,0.32,0.58,0.25
136,Quincy Acy,NY,68,18.9,22,147,0.32,0.82,0.15
137,Quincy Pondexter,NO/MEM,75,23.9,24,150,0.32,0.64,0.16
138,J.R. Smith,CLE/NY,70,29.7,22,163,0.31,0.51,0.13
139,Aron Baynes,SA,70,16.0,22,162,0.31,0.94,0.14
140,Luc Richard Mbah a Moute,PHI,67,28.6,21,104,0.31,0.53,0.20
141,Monta Ellis,DAL,80,33.7,25,197,0.31,0.44,0.13
142,Luol Deng,MIA,72,33.6,22,109,0.31,0.44,0.20
143,Jae Crowder,BOS/DAL,82,20.1,25,137,0.30,0.73,0.18
144,Terrence Ross,TOR,82,25.5,25,136,0.30,0.57,0.18
145,P.J. Tucker,PHX,78,30.6,23,179,0.29,0.46,0.13
146,Rasual Butler,WSH,75,20.1,22,98,0.29,0.70,0.22
147,Chandler Parsons,DAL,66,33.1,19,140,0.29,0.42,0.14
148,Zaza Pachulia,MIL,73,23.7,21,170,0.29,0.58,0.12
149,Manu Ginobili,SA,70,22.7,20,138,0.29,0.60,0.14
150,Bradley Beal,WSH,63,33.4,18,136,0.29,0.41,0.13
151,Boris Diaw,SA,81,24.5,23,148,0.28,0.56,0.16
152,Glen Davis,LAC,74,12.2,21,132,0.28,1.12,0.16
153,Tayshaun Prince,BOS/DET/MEM,58,24.1,16,55,0.28,0.55,0.29
154,Gerald Henderson,CHA,80,28.9,22,135,0.28,0.46,0.16
155,James Ennis,MIA,62,17.0,17,89,0.27,0.78,0.19
156,Marcus Smart,BOS,67,27.0,18,176,0.27,0.48,0.10
157,Kyrie Irving,CLE,75,36.4,20,146,0.27,0.35,0.14
158,Victor Oladipo,ORL,72,35.7,19,187,0.26,0.35,0.10
159,Kyle Singler,DET/OKC,80,21.8,21,153,0.26,0.58,0.14
160,Dion Waiters,CLE/OKC,80,27.6,21,155,0.26,0.46,0.14
161,Iman Shumpert,CLE/NY,62,24.9,16,138,0.26,0.50,0.12
162,Shaun Livingston,GS,78,18.8,20,110,0.26,0.65,0.18
163,Damian Lillard,POR,82,35.7,21,164,0.26,0.34,0.13
164,O.J. Mayo,MIL,71,23.9,18,165,0.25,0.51,0.11
165,Deron Williams,BKN,68,31.1,17,157,0.25,0.39,0.11
166,Jason Terry,HOU,77,21.3,19,116,0.25,0.56,0.16
167,Elfrid Payton,ORL,82,30.4,20,193,0.24,0.39,0.10
168,Carl Landry,SAC,70,17.0,17,132,0.24,0.68,0.13
169,DeMarre Carroll,ATL,70,31.3,17,154,0.24,0.37,0.11
170,Jonas Jerebko,BOS/DET,75,16.4,18,135,0.24,0.70,0.13
171,Corey Brewer,HOU/MIN,80,26.1,19,173,0.24,0.44,0.11
172,Nik Stauskas,SAC,73,15.4,17,92,0.23,0.72,0.18
173,Evan Turner,BOS,82,27.6,19,180,0.23,0.40,0.11
174,Harrison Barnes,GS,82,28.3,19,146,0.23,0.39,0.13
175,Ben McLemore,SAC,82,32.6,19,219,0.23,0.34,0.09
176,Eric Gordon,NO,61,33.1,14,145,0.23,0.33,0.10
177,Luis Scola,IND,81,20.5,18,192,0.22,0.52,0.09
178,Pero Antic,ATL,63,16.5,14,132,0.22,0.65,0.11
179,Solomon Hill,IND,82,29.0,18,177,0.22,0.36,0.10
180,Kentavious Caldwell-Pope,DET,82,31.5,18,161,0.22,0.33,0.11
181,Jamal Crawford,LAC,64,26.6,14,108,0.22,0.39,0.13
182,Cory Joseph,SA,79,18.3,17,105,0.22,0.57,0.16
183,Vince Carter,MEM,66,16.5,14,102,0.21,0.62,0.14
184,Kirk Hinrich,CHI,66,24.4,14,144,0.21,0.42,0.10
185,Anthony Tolliver,DET/PHX,76,18.8,16,137,0.21,0.54,0.12
186,Udonis Haslem,MIA,62,16.0,13,113,0.21,0.63,0.12
187,Russell Westbrook,OKC,67,34.4,14,184,0.21,0.29,0.08
188,Trevor Ariza,HOU,82,35.7,17,186,0.21,0.28,0.09
189,Mo Williams,MIN/CHA,68,29.1,14,162,0.21,0.34,0.09
190,Justin Holiday,GS,59,11.1,12,54,0.20,0.88,0.22
191,Jordan Clarkson,LAL,59,25.0,12,109,0.20,0.39,0.11
192,Tyler Hansbrough,TOR,74,14.3,15,141,0.20,0.68,0.11
193,Stephen Curry,GS,80,32.7,16,158,0.20,0.29,0.10
194,Norris Cole,NO/MIA,75,24.4,15,124,0.20,0.39,0.12
195,Mike Conley,MEM,70,31.8,14,139,0.20,0.30,0.10
196,Tim Hardaway Jr.,NY,70,24.0,14,119,0.20,0.40,0.12
197,Marcus Morris,PHX,81,25.2,16,188,0.20,0.38,0.09
198,Trey Burke,UTAH,76,30.1,15,119,0.20,0.31,0.13
199,Zach Randolph,MEM,71,32.5,14,175,0.20,0.29,0.08
200,Avery Bradley,BOS,77,31.5,15,177,0.19,0.30,0.08
201,Goran Dragic,MIA/PHX,78,33.8,15,195,0.19,0.27,0.08
202,Kyle Lowry,TOR,70,34.5,13,212,0.19,0.26,0.06
203,Devin Harris,DAL,76,22.2,14,147,0.18,0.40,0.10
204,Austin Rivers,NO/LAC,76,20.6,14,146,0.18,0.43,0.10
205,DeMar DeRozan,TOR,60,35.0,11,122,0.18,0.25,0.09
206,Chris Paul,LAC,82,34.8,15,203,0.18,0.25,0.07
207,Aaron Brooks,CHI,82,23.0,15,189,0.18,0.38,0.08
208,Joe Johnson,BKN,80,34.9,14,120,0.18,0.24,0.12
209,Luke Babbitt,NO,63,13.2,11,63,0.17,0.64,0.17
210,Dante Exum,UTAH,82,22.2,14,147,0.17,0.37,0.10
211,Carlos Boozer,LAL,71,23.8,12,184,0.17,0.34,0.07
212,Matt Bonner,SA,72,13.0,12,65,0.17,0.62,0.18
213,Wesley Matthews,POR,60,33.7,10,132,0.17,0.24,0.08
214,Jarrett Jack,BKN,80,28.0,13,143,0.16,0.28,0.09
215,Gerald Green,PHX,74,19.5,12,145,0.16,0.40,0.08
216,Ray McCallum,SAC,68,21.1,11,92,0.16,0.37,0.12
217,Brandon Knight,MIL/PHX,63,32.3,10,114,0.16,0.24,0.09
218,Jerryd Bayless,MIL,77,22.3,12,163,0.16,0.34,0.07
219,Courtney Lee,MEM,77,30.6,12,129,0.16,0.24,0.09
220,Jared Dudley,MIL,72,23.8,11,113,0.15,0.31,0.10
221,Tony Snell,CHI,72,19.6,11,86,0.15,0.37,0.13
222,Chase Budinger,MIN,67,19.2,10,72,0.15,0.37,0.14
223,Richard Jefferson,DAL,74,16.8,11,115,0.15,0.42,0.10
224,Anthony Morrow,OKC,74,24.4,11,135,0.15,0.29,0.08
225,Jon Leuer,MEM,63,13.1,9,86,0.14,0.52,0.10
226,Rodney Stuckey,IND,71,26.4,10,131,0.14,0.26,0.08
227,Khris Middleton,MIL,79,30.1,11,183,0.14,0.22,0.06
228,Omri Casspi,SAC,67,21.1,9,107,0.13,0.31,0.08
229,Lance Stephenson,CHA,61,25.8,8,134,0.13,0.24,0.06
230,Zach LaVine,MIN,77,24.7,10,158,0.13,0.25,0.06
231,Lance Thomas,NY/OKC,62,24.0,8,101,0.13,0.26,0.08
232,C.J. McCollum,POR,62,15.7,8,81,0.13,0.39,0.10
233,Joe Ingles,UTAH,79,21.2,10,124,0.13,0.29,0.08
234,Louis Williams,TOR,80,25.2,10,103,0.13,0.24,0.10
235,Mario Chalmers,MIA,80,29.6,10,251,0.13,0.20,0.04
236,Greivis Vasquez,TOR,82,24.3,10,177,0.12,0.24,0.06
237,Leandro Barbosa,GS,66,14.9,8,87,0.12,0.39,0.09
238,Ty Lawson,DEN,75,35.5,9,128,0.12,0.16,0.07
239,Shane Larkin,NY,76,24.5,9,150,0.12,0.23,0.06
240,Reggie Jackson,DET/OKC,77,29.5,9,167,0.12,0.19,0.05
241,Bojan Bogdanovic,BKN,78,23.8,9,104,0.12,0.23,0.09
242,Hedo Turkoglu,LAC,62,11.4,7,66,0.11,0.48,0.11
243,Rajon Rondo,BOS/DAL,68,29.7,7,153,0.10,0.17,0.05
244,J.J. Redick,LAC,78,30.9,8,134,0.10,0.16,0.06
245,Beno Udrih,MEM,79,18.9,8,88,0.10,0.26,0.09
246,Jodie Meeks,DET,60,24.4,6,76,0.10,0.20,0.08
247,Jameer Nelson,BOS/DAL/DEN,63,22.3,6,136,0.10,0.20,0.04
248,Arron Afflalo,DEN/POR,78,32.1,7,167,0.09,0.13,0.04
249,Nick Calathes,MEM,58,14.4,5,100,0.09,0.29,0.05
250,Brian Roberts,CHA,72,18.5,6,75,0.08,0.22,0.08
251,Isaiah Thomas,BOS/PHX,67,25.8,5,150,0.07,0.14,0.03
252,Andre Miller,SAC/WSH,81,15.5,6,103,0.07,0.23,0.06
253,Damjan Rudez,IND,68,15.4,5,79,0.07,0.23,0.06
254,Alan Anderson,BKN,74,23.6,5,148,0.07,0.14,0.03
255,Steve Blake,POR,81,18.9,5,118,0.06,0.16,0.04
256,Derrick Williams,SAC,74,19.8,4,67,0.05,0.13,0.06
257,Dennis Schroder,ATL,77,19.7,4,127,0.05,0.13,0.03
258,Caron Butler,DET,78,20.8,4,120,0.05,0.12,0.03
259,Marco Belinelli,SA,62,22.4,3,85,0.05,0.10,0.04
260,Mike Scott,ATL,68,16.5,3,83,0.04,0.13,0.04
261,D.J. Augustin,DET/OKC,82,24.0,3,93,0.04,0.07,0.03
262,Evan Fournier,ORL,58,28.6,2,116,0.03,0.06,0.02
263,Wayne Ellington,LAL,65,25.8,2,77,0.03,0.06,0.03
264,Matthew Dellavedova,CLE,67,20.6,2,152,0.03,0.07,0.01
265,Tony Parker,SA,68,28.7,2,108,0.03,0.05,0.02
266,Pablo Prigioni,HOU/NY,67,17.9,1,88,0.01,0.04,0.01
267,J.J. Barea,DAL,77,17.7,1,104,0.01,0.04,0.01
268,Ramon Sessions,SAC/WSH,64,18.6,0,73,0.00,0.00,0.00
