RANK_blocks_2015,PLAYER,TEAM,GP,MPG,BLK,PF,BLKPG,BLKP48M,BLK/PF
1,Anthony Davis,NO,68,36.1,200,141,2.94,3.91,1.42
2,Hassan Whiteside,MIA,48,23.8,123,129,2.56,5.17,0.95
3,Serge Ibaka,OKC,64,33.1,155,194,2.42,3.52,0.80
4,Rudy Gobert,UTAH,82,26.3,189,175,2.30,4.20,1.08
5,DeAndre Jordan,LAC,82,34.4,183,245,2.23,3.11,0.75
6,John Henson,MIL,67,18.3,135,152,2.01,5.28,0.89
7,Tim Duncan,SA,77,28.9,151,165,1.96,3.25,0.92
8,Nerlens Noel,PHI,75,30.8,142,208,1.89,2.95,0.68
9,Pau Gasol,CHI,78,34.4,147,147,1.88,2.63,1.00
10,Andre Drummond,DET,82,30.5,153,285,1.87,2.94,0.54
11,Brook Lopez,BKN,72,29.2,126,206,1.75,2.88,0.61
12,DeMarcus Cousins,SAC,59,34.1,103,241,1.75,2.46,0.43
13,Gorgui Dieng,MIN,73,30.0,126,188,1.73,2.76,0.67
14,Andrew Bogut,GS,67,23.6,113,188,1.69,3.43,0.60
15,Derrick Favors,UTAH,74,30.8,123,210,1.66,2.59,0.59
16,Roy Hibbert,IND,76,25.3,125,216,1.64,3.12,0.58
17,Marc Gasol,MEM,81,33.2,131,208,1.62,2.34,0.63
18,Bismack Biyombo,CHA,64,19.4,99,140,1.55,3.82,0.71
19,Alex Len,PHX,69,22.0,105,213,1.52,3.32,0.49
20,Robin Lopez,POR,59,27.8,84,122,1.42,2.46,0.69
21,Josh Smith,DET/HOU,83,27.7,116,228,1.40,2.42,0.51
22,Marcin Gortat,WSH,82,29.9,110,191,1.34,2.15,0.58
23,Al Jefferson,CHA,65,30.6,84,139,1.29,2.02,0.60
24,Al Horford,ATL,76,30.5,98,121,1.29,2.03,0.81
25,Brandan Wright,BOS/DAL/PHX,75,19.3,94,102,1.25,3.11,0.92
26,Draymond Green,GS,79,31.5,99,253,1.25,1.91,0.39
27,Ed Davis,LAL,79,23.3,98,202,1.24,2.56,0.49
28,Steven Adams,OKC,70,25.3,86,222,1.23,2.33,0.39
29,Tyson Chandler,DAL,75,30.5,91,169,1.21,1.91,0.54
30,Taj Gibson,CHI,62,27.3,75,162,1.21,2.13,0.46
31,Timofey Mozgov,CLE/DEN,81,25.3,97,227,1.20,2.28,0.43
32,Jonas Valanciunas,TOR,80,26.2,95,222,1.19,2.18,0.43
33,K.J. McDaniels,HOU/PHI,62,21.8,70,126,1.13,2.49,0.56
34,Joakim Noah,CHI,67,30.6,74,203,1.10,1.73,0.36
35,Jusuf Nurkic,DEN,62,17.8,68,207,1.10,2.96,0.33
36,Danny Green,SA,81,28.5,87,163,1.07,1.81,0.53
37,Cole Aldrich,NY,61,16.0,65,122,1.07,3.20,0.53
38,Giannis Antetokounmpo,MIL,81,31.4,85,254,1.05,1.61,0.33
39,Jerami Grant,PHI,65,21.2,68,144,1.05,2.37,0.47
40,Chris Andersen,MIA,60,18.9,61,88,1.02,2.59,0.69
41,James Johnson,TOR,70,19.6,70,155,1.00,2.45,0.45
42,LaMarcus Aldridge,POR,71,35.4,68,125,0.96,1.30,0.54
43,Paul Millsap,ATL,73,32.7,69,201,0.95,1.39,0.34
44,Miles Plumlee,MIL/PHX,73,16.4,66,111,0.90,2.65,0.59
45,Dewayne Dedmon,ORL,59,14.3,50,141,0.85,2.84,0.35
46,Al-Farouq Aminu,DAL,74,18.5,62,137,0.84,2.18,0.45
47,Cody Zeller,CHA,62,24.0,49,156,0.79,1.58,0.31
48,Amir Johnson,TOR,75,26.4,59,225,0.79,1.43,0.26
49,Klay Thompson,GS,77,31.9,60,122,0.78,1.17,0.49
50,Kosta Koufos,MEM,81,16.6,63,148,0.78,2.24,0.43
51,Mason Plumlee,BKN,82,21.3,63,207,0.77,1.73,0.30
52,Kenneth Faried,DEN,75,27.8,57,211,0.76,1.31,0.27
53,Ian Mahinmi,IND,61,18.8,46,172,0.75,1.93,0.27
54,Alexis Ajinca,NO,68,14.1,51,151,0.75,2.56,0.34
55,Kawhi Leonard,SA,64,31.8,48,128,0.75,1.13,0.38
56,Kevin Seraphin,WSH,79,15.6,59,197,0.75,2.29,0.30
57,Tristan Thompson,CLE,82,26.8,61,189,0.74,1.33,0.32
58,Jordan Hill,LAL,70,26.8,52,164,0.74,1.33,0.32
59,James Harden,HOU,81,36.8,60,208,0.74,0.97,0.29
60,Chris Kaman,POR,74,18.9,54,140,0.73,1.85,0.39
