RANK_scoring-per-game_2016,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
96,Trevor Ariza,HOU,44,34.2,11.5,4.1-10.3,.395,2.1-5.8,.354,1.3-1.7,.763
97,Joe Johnson,BKN,44,34.2,11.4,4.3-11.0,.391,1.5-4.0,.365,1.3-1.6,.817
98,Ish Smith,NO/PHI,40,25.7,11.4,4.7-11.2,.420,0.4-1.4,.315,1.5-2.0,.763
99,Jabari Parker,MIL,40,27.8,11.3,4.7-9.8,.482,0.0-0.2,.000,1.9-2.4,.787
100,Kevin Martin,MIN,35,22.6,11.3,3.5-9.2,.375,1.0-2.8,.364,3.3-3.8,.886
101,Ersan Ilyasova,DET,44,28.0,11.2,4.2-9.8,.425,1.5-4.1,.368,1.4-2.0,.709
102,Elfrid Payton,ORL,38,29.5,11.2,4.5-10.7,.420,0.4-1.1,.357,1.8-2.9,.618
103,Gary Harris,DEN,38,30.4,11.1,4.3-9.4,.454,1.3-3.6,.368,1.2-1.5,.793
104,Allen Crabbe,POR,46,26.0,11.0,4.3-9.2,.465,1.4-3.7,.384,1.0-1.2,.839
105,T.J. Warren,PHX,44,22.8,11.0,4.7-9.5,.498,0.6-1.5,.409,1.0-1.4,.717
106,Jeremy Lamb,CHA,38,21.7,10.9,4.3-9.3,.469,1.0-3.2,.311,1.2-1.6,.770
107,Robert Covington,PHI,35,26.2,10.9,3.6-9.6,.373,2.0-6.1,.335,1.7-2.2,.789
108,Marco Belinelli,SAC,43,25.6,10.8,3.7-9.5,.386,1.5-4.6,.317,2.1-2.4,.856
109,Jeff Green,MEM,45,28.6,10.8,4.0-9.8,.407,0.6-2.2,.273,2.2-2.8,.787
110,Dennis Schroder,ATL,43,21.5,10.8,4.1-9.9,.416,1.0-3.2,.324,1.5-1.9,.793
111,Chandler Parsons,DAL,37,26.6,10.8,4.3-9.1,.473,1.2-3.2,.367,1.0-1.7,.571
112,Marcus Thornton,HOU,38,19.6,10.7,4.0-9.7,.414,1.6-4.6,.352,1.1-1.3,.875
113,Gerald Green,MIA,38,26.4,10.7,3.9-9.9,.399,1.6-4.7,.339,1.2-1.6,.783
114,Julius Randle,LAL,45,26.6,10.5,4.1-10.2,.403,0.1-0.4,.278,2.2-3.2,.676
115,Nikola Mirotic,CHI,43,24.1,10.5,3.3-8.8,.381,1.7-4.8,.353,2.1-2.7,.783
116,Al-Farouq Aminu,POR,46,29.1,10.5,3.8-9.2,.411,1.5-4.2,.352,1.4-2.0,.725
117,Isaiah Canaan,PHI,43,25.1,10.4,3.2-8.9,.358,2.2-6.0,.363,1.9-2.4,.804
118,Nerlens Noel,PHI,38,29.3,10.4,4.3-8.4,.509,0.0-0.0,.000,1.8-3.2,.561
119,Zaza Pachulia,DAL,43,29.2,10.4,3.5-7.3,.479,0.0-0.0,.000,3.4-4.3,.793
120,Manu Ginobili,SA,38,19.8,10.3,3.7-8.0,.469,1.2-3.2,.383,1.6-2.0,.803
121,Mario Chalmers,MIA/MEM,42,22.3,10.3,3.0-7.1,.418,0.8-2.6,.318,3.5-4.2,.820
122,Gary Neal,WSH,33,21.3,10.2,3.9-8.5,.459,1.1-2.6,.425,1.3-1.5,.863
123,Luis Scola,TOR,43,23.5,10.1,4.2-9.1,.464,0.7-1.7,.438,1.0-1.2,.792
124,Kelly Olynyk,BOS,43,20.9,10.1,3.9-8.4,.463,1.4-3.1,.437,1.0-1.5,.667
125,Ramon Sessions,WSH,41,21.3,10.1,3.4-7.1,.474,0.5-1.4,.322,2.8-3.7,.768
126,Terrence Jones,HOU,39,23.4,10.0,3.9-8.4,.460,0.6-1.8,.347,1.6-2.5,.653
127,Courtney Lee,MEM,43,29.4,10.0,3.8-8.4,.450,0.9-2.6,.342,1.6-1.9,.863
128,Shabazz Muhammad,MIN,45,20.2,10.0,3.6-7.6,.481,0.6-1.8,.321,2.1-2.7,.770
129,Luol Deng,MIA,37,31.2,9.9,3.6-8.5,.421,1.2-3.5,.354,1.5-1.9,.789
130,Jared Sullinger,BOS,43,24.1,9.9,4.0-9.6,.421,0.4-1.7,.268,1.3-2.1,.637
131,Rodney Stuckey,IND,33,25.0,9.8,3.6-8.8,.410,0.3-1.5,.208,2.3-2.8,.828
132,Dion Waiters,OKC,45,26.9,9.7,3.7-9.2,.399,1.0-2.8,.344,1.4-2.0,.730
133,Mirza Teletovic,PHX,44,18.0,9.7,3.4-7.8,.430,2.1-5.0,.425,0.9-1.2,.736
134,Ricky Rubio,MIN,39,30.2,9.7,2.8-7.9,.352,0.7-2.3,.303,3.4-4.1,.832
135,Marvin Williams,CHA,44,29.4,9.5,3.3-8.0,.409,1.5-4.2,.360,1.4-1.5,.912
136,J.J. Barea,DAL,39,21.6,9.4,3.6-8.6,.419,1.2-3.4,.359,1.1-1.4,.774
137,Jordan Hill,IND,40,21.7,9.4,4.0-7.9,.505,0.0-0.0,.000,1.5-2.2,.686
138,Kyle Korver,ATL,43,30.5,9.4,3.4-8.0,.423,1.9-5.1,.365,0.7-0.8,.861
139,Mason Plumlee,POR,46,26.1,9.3,3.4-6.7,.503,0.0-0.0,.000,2.5-4.1,.622
140,Bojan Bogdanovic,BKN,44,27.0,9.3,3.5-8.3,.420,1.2-3.7,.325,1.0-1.3,.807
141,Devin Booker,PHX,39,20.4,9.2,3.3-7.0,.473,1.0-2.3,.427,1.6-2.0,.810
142,Raymond Felton,DAL,44,26.5,9.2,3.3-8.2,.404,0.9-2.7,.325,1.7-2.0,.849
143,Derrick Williams,NY,45,16.7,9.2,3.0-6.8,.441,0.4-1.9,.233,2.7-3.6,.755
144,Matt Barnes,MEM,42,26.7,9.1,3.2-7.9,.411,1.4-4.3,.335,1.2-1.5,.820
145,Evan Turner,BOS,44,26.8,9.0,3.7-8.6,.425,0.2-1.4,.148,1.5-1.8,.838
146,Jon Leuer,PHX,41,20.8,9.0,3.6-7.4,.492,0.8-2.0,.407,1.0-1.3,.736
147,Cody Zeller,CHA,40,24.8,9.0,3.2-6.5,.496,0.0-0.2,.000,2.6-3.5,.736
148,Jerami Grant,PHI,42,25.6,9.0,3.1-7.2,.424,0.4-1.9,.218,2.4-3.5,.678
149,Patrick Beverley,HOU,34,25.6,8.9,3.2-7.6,.425,1.7-4.0,.437,0.7-1.1,.694
150,Tyler Johnson,MIA,34,24.0,8.9,3.3-6.9,.483,0.8-2.0,.391,1.5-1.9,.797
151,Nikola Jokic,DEN,42,19.0,8.9,3.4-6.3,.548,0.2-0.6,.370,1.8-2.2,.806
152,Meyers Leonard,POR,39,23.3,8.9,3.4-7.8,.442,1.4-4.0,.340,0.6-0.8,.758
153,Tim Duncan,SA,37,25.9,8.9,3.6-7.2,.506,0.0-0.1,.000,1.6-2.1,.744
154,Robin Lopez,NY,46,25.1,8.8,3.8-7.3,.519,0.0-0.0,.000,1.2-1.5,.824
155,Lance Thomas,NY,43,21.3,8.7,3.1-6.6,.463,0.8-1.9,.415,1.8-2.0,.895
156,Hollis Thompson,PHI,42,26.7,8.6,3.1-7.7,.406,1.7-4.5,.386,0.7-1.0,.651
157,Jared Dudley,WSH,40,28.9,8.6,3.1-6.5,.479,1.5-3.3,.462,0.9-1.2,.750
158,Ian Mahinmi,IND,39,23.8,8.4,3.4-5.6,.605,0.0-0.0,.000,1.6-2.8,.568
159,Terrence Ross,TOR,37,22.9,8.3,3.1-7.2,.432,1.6-4.2,.377,0.5-0.6,.909
160,Garrett Temple,WSH,39,24.5,8.3,2.8-6.9,.411,1.1-3.3,.341,1.5-2.0,.731
161,Cory Joseph,TOR,43,25.8,8.2,3.0-6.7,.444,0.3-1.2,.269,2.0-2.6,.757
162,Stanley Johnson,DET,44,22.3,8.2,3.1-8.3,.378,0.9-2.8,.317,1.0-1.3,.793
163,Matthew Dellavedova,CLE,41,27.1,8.2,3.0-7.1,.428,1.3-3.1,.430,0.8-0.9,.892
164,Amir Johnson,BOS,41,23.9,8.1,3.5-6.0,.589,0.2-0.8,.273,0.9-1.6,.547
165,Jameer Nelson,DEN,36,27.6,8.1,3.1-8.3,.371,1.1-3.9,.295,0.8-1.0,.857
166,Gorgui Dieng,MIN,45,23.7,8.0,3.0-6.0,.506,0.0-0.0,.500,1.8-2.2,.856
167,Frank Kaminsky III,CHA,43,21.3,7.8,2.7-6.8,.405,0.9-2.4,.362,1.5-2.0,.724
168,Austin Rivers,LAC,40,22.0,7.8,3.1-7.3,.423,0.7-2.5,.267,1.0-1.4,.702
169,Patty Mills,SA,44,20.3,7.8,3.0-7.0,.434,1.4-3.6,.380,0.4-0.5,.800
170,Taj Gibson,CHI,43,25.3,7.8,3.3-6.4,.513,0.0-0.0,.000,1.2-1.7,.680
171,Aaron Brooks,CHI,33,15.8,7.7,2.9-6.9,.417,1.1-2.8,.383,0.8-1.0,.818
172,Doug McDermott,CHI,42,21.5,7.6,3.0-6.8,.436,1.3-3.0,.433,0.4-0.5,.842
173,Andre Iguodala,GS,44,27.6,7.6,2.9-5.9,.496,1.0-2.5,.387,0.8-1.1,.714
174,Devin Harris,DAL,39,19.8,7.6,2.7-5.8,.460,0.7-2.1,.337,1.5-2.3,.682
175,Festus Ezeli,GS,39,17.9,7.6,2.9-5.3,.556,0.0-0.0,.000,1.7-3.2,.532
176,Tristan Thompson,CLE,42,27.2,7.6,2.9-5.3,.554,0.0-0.0,.000,1.7-2.9,.595
177,Langston Galloway,NY,46,24.0,7.5,2.7-6.6,.417,0.9-2.5,.371,1.1-1.4,.800
178,Ben McLemore,SAC,43,21.1,7.5,2.8-6.1,.454,0.9-2.3,.366,1.1-1.6,.731
179,Clint Capela,HOU,44,21.6,7.5,3.2-5.6,.569,0.0-0.0,.000,1.1-2.5,.438
180,Jose Calderon,NY,46,27.9,7.5,2.9-6.1,.473,1.2-2.8,.411,0.6-0.7,.875
181,Nick Young,LAL,36,18.7,7.5,2.6-7.2,.364,1.6-4.4,.350,0.7-0.9,.788
182,Darrell Arthur,DEN,41,21.1,7.4,3.2-6.9,.473,0.4-1.0,.415,0.5-0.6,.800
183,Kosta Koufos,SAC,42,20.6,7.3,3.2-5.9,.534,0.0-0.0,.000,1.0-1.6,.580
184,Aaron Gordon,ORL,41,19.6,7.3,2.7-5.5,.496,0.5-1.3,.345,1.3-2.0,.688
185,Boris Diaw,SA,44,19.1,7.2,3.0-5.5,.535,0.4-1.0,.400,0.8-1.1,.740
186,Nik Stauskas,PHI,38,23.6,7.2,2.5-7.1,.356,1.4-4.5,.322,0.7-1.0,.641
187,Steven Adams,OKC,44,24.3,7.1,2.8-4.7,.600,0.0-0.0,.000,1.5-2.4,.625
188,Thabo Sefolosha,ATL,39,24.3,7.0,2.8-5.5,.516,0.5-1.8,.286,0.9-1.4,.642
189,Danny Green,SA,44,25.1,6.9,2.5-7.0,.363,1.4-4.2,.333,0.5-0.6,.800
190,John Henson,MIL,41,16.7,6.9,2.9-4.9,.595,0.0-0.0,.000,1.1-2.0,.537
191,Mike Scott,ATL,39,14.3,6.9,2.6-5.1,.515,0.9-2.1,.420,0.7-0.9,.800
192,Corey Brewer,HOU,45,20.1,6.9,2.4-6.6,.360,0.8-2.7,.295,1.3-1.6,.808
193,Dwight Powell,DAL,43,17.3,6.9,2.6-5.3,.482,0.0-0.2,.200,1.7-2.3,.730
194,Shane Larkin,BKN,40,20.3,6.8,2.7-6.1,.445,0.6-1.5,.390,0.8-1.0,.769
195,Ed Davis,POR,45,21.1,6.8,2.7-4.3,.619,0.0-0.0,.000,1.4-2.7,.525
196,Roy Hibbert,LAL,46,25.2,6.7,2.4-5.6,.438,0.0-0.0,.000,1.9-2.2,.843
197,Alex Len,PHX,42,19.2,6.7,2.5-5.5,.459,0.0-0.1,.250,1.6-2.3,.716
198,Andrew Nicholson,ORL,32,16.3,6.7,2.6-5.8,.452,0.8-2.1,.353,0.7-0.9,.767
199,Gerald Henderson,POR,37,16.2,6.7,2.4-6.1,.396,0.6-1.8,.364,1.2-1.6,.721
200,Ty Lawson,HOU,38,24.6,6.7,2.4-6.2,.391,0.6-1.9,.324,1.2-1.7,.708
201,P.J. Tucker,PHX,45,28.4,6.7,2.5-6.0,.410,0.8-2.2,.350,1.0-1.3,.741
202,Andrea Bargnani,BKN,38,13.8,6.6,2.7-6.2,.439,0.1-0.4,.188,1.1-1.3,.820
203,David West,SA,43,16.7,6.6,2.9-5.2,.563,0.0-0.1,.333,0.7-1.0,.727
204,Leandro Barbosa,GS,31,14.4,6.6,2.6-5.8,.456,0.6-1.7,.385,0.7-0.8,.840
205,Tony Allen,MEM,38,24.1,6.5,2.7-6.4,.420,0.2-0.6,.375,0.9-1.6,.574
206,P.J. Hairston,CHA,41,19.9,6.5,2.2-6.1,.368,1.2-3.8,.316,0.8-1.0,.821
207,Patrick Patterson,TOR,43,24.0,6.3,2.4-6.1,.393,1.3-4.0,.339,0.2-0.2,.900
208,Brandon Bass,LAL,38,18.0,6.3,2.5-4.4,.560,0.0-0.0,.000,1.4-1.6,.855
209,Wesley Johnson,LAC,43,17.9,6.3,2.4-5.5,.432,1.2-3.5,.340,0.4-0.7,.607
210,Timofey Mozgov,CLE,39,17.9,6.3,2.6-5.1,.510,0.0-0.2,.143,1.1-1.4,.764
211,Wayne Ellington,BKN,43,18.5,6.3,2.4-6.4,.378,0.9-2.8,.311,0.6-0.7,.800
212,Richaun Holmes,PHI,32,14.0,6.2,2.5-4.2,.590,0.2-0.9,.207,1.1-1.5,.723
213,Randy Foye,DEN,44,19.9,6.2,2.2-6.4,.343,0.9-3.2,.282,0.8-1.0,.822
214,Shaun Livingston,GS,41,19.9,6.1,2.6-5.1,.507,0.0-0.3,.091,0.9-1.0,.923
215,Jason Smith,ORL,37,14.9,6.0,2.7-5.3,.503,0.1-0.3,.200,0.6-0.6,.917
216,T.J. McConnell,PHI,44,21.3,6.0,2.6-5.6,.460,0.5-1.3,.345,0.3-0.5,.682
217,Jason Terry,HOU,38,17.2,6.0,2.1-4.9,.430,1.3-3.5,.364,0.5-0.6,.792
218,Larry Nance Jr.,LAL,37,20.5,6.0,2.7-5.0,.541,0.0-0.1,.333,0.5-0.8,.714
219,Anthony Morrow,OKC,39,15.5,5.9,2.1-5.1,.416,1.3-3.1,.405,0.4-0.5,.810
220,Charlie Villanueva,DAL,37,12.2,5.9,2.4-6.2,.384,0.8-3.2,.239,0.4-0.4,.875
221,Raul Neto,UTAH,42,19.3,5.8,2.3-5.4,.417,0.8-2.1,.389,0.5-0.6,.741
222,Tony Snell,CHI,41,21.9,5.8,2.1-5.8,.369,1.0-2.9,.368,0.5-0.5,.909
223,Paul Pierce,LAC,40,17.5,5.8,2.0-5.6,.351,1.1-3.5,.319,0.8-0.9,.811
224,Richard Jefferson,CLE,39,19.5,5.7,2.0-4.6,.436,0.9-2.5,.375,0.7-1.3,.580
225,Trevor Booker,UTAH,41,23.2,5.7,2.2-5.2,.432,0.1-0.5,.238,1.1-1.5,.721
226,Spencer Hawes,CHA,38,17.8,5.6,2.1-5.3,.390,0.6-1.8,.328,0.9-1.1,.857
227,JaMychal Green,MEM,45,14.8,5.6,2.1-4.3,.492,0.2-0.4,.529,1.2-1.5,.765
228,Andrew Bogut,GS,37,20.9,5.6,2.6-4.2,.636,0.0-0.0,.000,0.3-0.8,.414
229,Tyson Chandler,PHX,36,23.1,5.6,1.9-4.1,.479,0.0-0.0,.000,1.7-2.6,.663
230,Josh Smith,HOU/LAC,33,14.5,5.5,2.1-5.8,.368,0.5-1.9,.290,0.8-1.3,.568
231,Lavoy Allen,IND,43,21.7,5.5,2.6-5.2,.493,0.0-0.0,.000,0.4-0.7,.571
232,Channing Frye,ORL,37,18.0,5.5,1.9-4.3,.444,1.2-2.9,.413,0.5-0.5,.895
233,Tiago Splitter,ATL,32,16.0,5.5,2.3-4.4,.511,0.0-0.1,.000,1.0-1.3,.800
234,Marreese Speights,GS,35,10.5,5.5,2.1-5.6,.371,0.1-0.3,.250,1.2-1.5,.792
235,JaKarr Sampson,PHI,43,15.5,5.4,1.9-4.4,.439,0.1-0.7,.194,1.4-2.2,.635
236,Aron Baynes,DET,43,14.2,5.4,2.2-4.4,.497,0.0-0.0,.000,1.0-1.4,.738
237,Justise Winslow,MIA,41,27.0,5.4,2.0-5.3,.387,0.5-2.0,.263,0.8-1.2,.660
238,Bismack Biyombo,TOR,43,22.8,5.4,1.8-3.6,.503,0.0-0.0,.000,1.8-2.7,.667
239,Anthony Tolliver,DET,43,19.2,5.3,1.7-4.6,.383,1.3-3.7,.363,0.5-0.8,.636
240,Brandon Rush,GS,35,16.1,5.2,1.9-4.3,.450,1.1-2.5,.455,0.2-0.3,.583
241,James Johnson,TOR,35,15.3,5.1,2.1-3.9,.529,0.3-0.9,.355,0.7-1.1,.625
