RANK_scoring-per-game_2016,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
1,Stephen Curry,GS,42,33.9,30.1,10.0-19.5,.510,4.9-10.8,.451,5.3-5.9,.911
2,James Harden,HOU,45,37.4,27.6,8.1-19.2,.422,2.7-8.0,.340,8.7-10.1,.862
3,DeMarcus Cousins,SAC,35,33.7,26.7,9.1-20.3,.447,1.2-3.5,.347,7.4-10.0,.740
4,Kevin Durant,OKC,38,35.5,26.5,9.1-18.0,.507,2.3-5.9,.390,5.9-6.7,.889
5,LeBron James,CLE,41,35.8,25.0,9.5-19.0,.499,1.1-4.0,.288,4.9-6.8,.711
6,Damian Lillard,POR,39,36.2,24.6,8.4-19.9,.423,3.1-8.1,.380,4.6-5.3,.870
7,Russell Westbrook,OKC,45,33.8,23.9,8.4-18.5,.452,1.2-4.1,.285,6.0-7.3,.818
8,Paul George,IND,44,35.4,23.7,7.5-18.2,.412,2.9-7.5,.380,5.9-6.9,.849
9,Anthony Davis,NO,38,35.7,23.3,8.8-17.8,.493,0.5-1.7,.288,5.2-6.8,.765
10,DeMar DeRozan,TOR,43,36.6,23.3,7.9-17.8,.445,0.6-1.8,.304,6.9-8.2,.844
11,Jimmy Butler,CHI,43,38.2,22.5,7.4-16.3,.453,1.1-3.4,.318,6.7-8.0,.834
12,Isaiah Thomas,BOS,44,32.7,21.8,7.0-16.6,.421,2.1-6.0,.345,5.7-6.4,.890
13,Carmelo Anthony,NY,42,34.6,21.3,7.6-17.6,.433,1.4-4.1,.331,4.7-5.7,.817
14,C.J. McCollum,POR,44,35.3,20.8,8.1-18.4,.441,2.5-6.4,.395,2.1-2.6,.800
15,Andrew Wiggins,MIN,44,34.9,20.8,7.4-16.6,.447,0.6-2.4,.243,5.4-7.3,.740
16,Kyle Lowry,TOR,43,36.5,20.7,6.6-15.7,.419,2.7-7.1,.381,4.8-5.5,.881
17,Klay Thompson,GS,42,32.9,20.5,7.4-16.1,.460,3.2-7.5,.425,2.6-3.1,.824
18,Kemba Walker,CHA,44,35.9,20.5,7.1-16.5,.433,1.8-4.9,.373,4.4-5.1,.862
19,Kawhi Leonard,SA,42,32.8,20.0,7.3-14.5,.502,1.8-3.8,.478,3.7-4.2,.880
20,John Wall,WSH,41,35.7,19.9,7.5-17.3,.433,1.5-4.2,.349,3.5-4.4,.786
21,Gordon Hayward,UTAH,43,35.6,19.8,6.5-14.9,.436,1.9-5.0,.378,5.0-6.1,.816
22,Brandon Knight,PHX,42,36.3,19.7,7.4-17.3,.424,2.1-6.2,.333,2.9-3.4,.847
23,Brook Lopez,BKN,44,33.4,19.5,7.8-15.8,.491,0.0-0.1,.000,4.0-5.0,.784
24,Danilo Gallinari,DEN,38,34.5,19.3,5.4-13.2,.406,1.7-4.6,.364,6.8-7.8,.875
25,Chris Bosh,MIA,44,33.6,19.1,6.7-14.2,.470,1.6-4.3,.378,4.1-5.1,.807
26,Reggie Jackson,DET,44,31.0,18.9,7.0-16.2,.433,1.4-4.1,.341,3.5-4.1,.846
27,Chris Paul,LAC,38,32.3,18.5,6.6-14.6,.451,1.4-3.7,.387,3.9-4.4,.886
28,Paul Millsap,ATL,44,32.8,18.4,6.5-13.2,.494,0.8-2.7,.305,4.5-5.8,.781
29,Dwyane Wade,MIA,41,30.1,18.2,7.1-15.6,.456,0.2-0.8,.226,3.8-5.0,.765
30,Rudy Gay,SAC,39,34.0,17.9,7.1-15.2,.466,1.0-3.2,.325,2.7-3.4,.789
31,Khris Middleton,MIL,46,36.0,17.7,6.2-14.0,.444,2.0-4.8,.423,3.3-3.7,.878
32,Dirk Nowitzki,DAL,41,30.8,17.7,6.4-14.3,.448,1.8-4.5,.391,3.1-3.5,.902
33,Jahlil Okafor,PHI,40,30.9,17.6,7.5-15.2,.489,0.0-0.1,.000,2.7-3.9,.684
34,Andre Drummond,DET,44,33.8,17.3,7.3-14.0,.519,0.0-0.1,.333,2.7-7.7,.354
35,Ryan Anderson,NO,41,31.3,16.8,5.9-13.6,.436,2.1-5.4,.391,2.9-3.3,.881
36,Nikola Vucevic,ORL,39,31.1,16.8,7.8-15.3,.510,0.0-0.2,.167,1.2-1.6,.738
37,Marc Gasol,MEM,45,35.0,16.7,6.3-13.7,.456,0.0-0.1,.667,4.1-4.9,.836
38,Pau Gasol,CHI,41,31.5,16.5,6.5-14.0,.467,0.2-0.6,.346,3.2-4.0,.795
39,J.J. Redick,LAC,39,27.7,16.4,5.5-11.2,.490,2.7-5.5,.495,2.7-3.0,.890
40,Greg Monroe,MIL,44,30.3,16.0,6.6-12.7,.517,0.0-0.0,.000,2.9-3.9,.749
41,LaMarcus Aldridge,SA,40,29.6,15.9,6.6-13.6,.487,0.0-0.3,.000,2.7-3.4,.806
42,Karl-Anthony Towns,MIN,45,29.3,15.8,6.6-12.4,.529,0.3-0.8,.389,2.4-2.8,.856
43,Kobe Bryant,LAL,38,29.1,15.8,5.5-15.9,.347,1.6-6.6,.249,3.2-4.0,.784
44,Kevin Love,CLE,42,32.4,15.6,5.3-12.7,.415,2.0-5.5,.364,3.1-4.0,.789
45,Derrick Rose,CHI,37,32.6,15.6,6.4-15.8,.407,0.6-2.4,.264,2.2-2.7,.792
46,Louis Williams,LAL,44,29.2,15.5,4.4-10.8,.408,1.6-4.8,.335,5.1-6.2,.831
47,Giannis Antetokounmpo,MIL,44,34.1,15.5,5.9-11.6,.504,0.3-1.3,.228,3.5-4.6,.771
48,Will Barton,DEN,44,29.0,15.4,5.6-12.7,.442,1.6-4.3,.381,2.5-3.0,.855
49,Thaddeus Young,BKN,44,32.2,15.3,6.9-13.4,.513,0.1-0.5,.217,1.4-2.4,.596
50,Al Horford,ATL,45,31.5,15.2,6.5-13.0,.498,0.9-2.9,.318,1.3-1.6,.781
51,Nicolas Batum,CHA,37,34.8,15.1,5.2-12.4,.415,2.0-5.8,.350,2.8-3.3,.844
52,Jordan Clarkson,LAL,44,32.0,15.1,5.9-13.5,.439,1.0-3.0,.326,2.2-2.8,.784
53,Mike Conley,MEM,39,31.5,15.0,5.1-12.6,.406,1.4-4.0,.359,3.3-3.9,.850
54,Eric Gordon,NO,41,33.4,14.9,5.0-12.2,.410,2.5-6.5,.377,2.4-2.8,.885
55,Kentavious Caldwell-Pope,DET,44,37.5,14.8,5.4-12.8,.421,1.6-5.1,.319,2.4-2.9,.813
56,Avery Bradley,BOS,39,32.6,14.7,5.8-13.3,.435,2.0-5.5,.360,1.2-1.6,.762
57,Draymond Green,GS,43,34.6,14.7,5.2-11.0,.473,1.5-3.6,.409,2.8-4.2,.674
58,Dwight Howard,HOU,37,32.5,14.4,5.3-8.7,.612,0.0-0.1,.000,3.8-6.9,.551
59,Deron Williams,DAL,37,32.5,14.4,5.2-12.1,.426,1.5-4.1,.355,2.6-2.9,.899
60,Jae Crowder,BOS,44,32.5,14.4,5.0-11.0,.450,1.7-4.8,.362,2.8-3.4,.820
61,Jeff Teague,ATL,42,28.4,14.4,4.9-12.0,.412,1.1-2.9,.383,3.4-4.0,.841
62,Marcus Morris,DET,43,36.4,14.0,5.1-11.9,.426,1.1-3.3,.319,2.8-3.7,.772
63,Kristaps Porzingis,NY,46,28.2,14.0,5.1-12.0,.427,1.1-3.2,.338,2.7-3.1,.854
64,Monta Ellis,IND,44,33.3,13.9,5.6-12.7,.439,0.9-3.1,.281,1.8-2.5,.743
65,Arron Afflalo,NY,38,33.0,13.9,5.5-11.9,.462,1.3-3.5,.371,1.6-1.8,.870
66,Victor Oladipo,ORL,38,30.3,13.9,5.2-12.6,.412,1.4-3.9,.361,2.1-2.6,.816
67,Zach Randolph,MEM,40,28.6,13.8,5.7-11.9,.481,0.0-0.2,.167,2.3-3.0,.760
68,Tobias Harris,ORL,42,33.1,13.7,5.1-11.1,.463,0.9-3.0,.294,2.5-3.2,.797
69,Evan Fournier,ORL,42,31.9,13.7,4.9-11.3,.431,1.9-5.0,.374,2.0-2.4,.850
70,Marcin Gortat,WSH,35,31.8,13.6,5.8-10.9,.530,0.0-0.0,.000,2.0-2.7,.747
71,Rodney Hood,UTAH,41,30.5,13.6,4.7-11.4,.412,1.8-5.2,.349,2.4-2.7,.884
72,Jrue Holiday,NO,37,25.0,13.5,5.0-11.4,.439,1.2-3.1,.379,2.3-2.9,.785
73,Serge Ibaka,OKC,45,32.6,13.2,5.6-11.3,.496,0.8-2.0,.402,1.2-1.6,.757
74,Kent Bazemore,ATL,40,28.3,13.0,4.7-10.0,.469,1.7-4.1,.423,1.9-2.2,.841
75,Wesley Matthews,DAL,41,33.0,12.9,4.4-11.3,.390,2.5-6.9,.356,1.6-1.9,.859
76,Jarrett Jack,BKN,32,32.1,12.8,4.4-11.2,.391,1.0-3.2,.304,3.1-3.5,.893
77,Darren Collison,SAC,38,28.5,12.7,4.6-10.2,.455,1.1-2.9,.375,2.4-2.8,.833
78,Tony Parker,SA,40,27.1,12.7,5.3-10.0,.526,0.4-0.9,.412,1.8-2.4,.760
79,George Hill,IND,37,35.0,12.7,4.6-10.4,.445,1.9-4.3,.431,1.6-2.1,.734
80,Trey Burke,UTAH,43,24.6,12.7,5.0-11.4,.436,1.5-4.3,.355,1.2-1.5,.785
81,C.J. Miles,IND,39,26.5,12.6,4.2-10.7,.392,2.4-6.7,.355,1.8-2.5,.750
82,Jamal Crawford,LAC,43,25.6,12.6,4.3-10.8,.395,1.3-3.9,.329,2.8-3.0,.930
83,Jeremy Lin,CHA,42,27.1,12.5,4.1-9.7,.429,1.0-3.1,.315,3.2-4.0,.799
84,Otto Porter Jr.,WSH,34,32.1,12.5,4.9-10.6,.458,1.2-3.8,.313,1.6-2.0,.783
85,Kenneth Faried,DEN,37,26.5,12.5,5.2-9.7,.536,0.0-0.0,.000,2.1-3.7,.566
86,Omri Casspi,SAC,38,30.0,12.4,4.7-9.2,.509,1.9-4.3,.448,1.2-2.1,.590
87,J.R. Smith,CLE,38,29.9,12.3,4.6-11.1,.416,2.4-6.2,.387,0.7-1.2,.591
88,Hassan Whiteside,MIA,41,28.9,12.3,5.1-8.4,.613,0.0-0.0,.000,2.0-3.7,.542
89,Goran Dragic,MIA,37,32.5,12.3,5.0-10.7,.466,0.9-2.8,.327,1.4-1.9,.722
90,D'Angelo Russell,LAL,44,27.0,12.3,4.8-11.5,.419,1.6-4.7,.332,1.0-1.5,.667
91,DeAndre Jordan,LAC,41,33.2,11.9,4.3-6.0,.721,0.0-0.0,.000,3.2-7.7,.417
92,Michael Carter-Williams,MIL,41,30.8,11.9,4.8-10.6,.452,0.3-0.9,.343,2.0-3.0,.659
93,Zach LaVine,MIN,45,23.0,11.8,4.4-10.6,.414,0.9-2.8,.331,2.1-2.5,.833
94,Rajon Rondo,SAC,41,35.0,11.7,4.9-10.9,.449,0.7-2.1,.329,1.2-2.2,.560
95,Enes Kanter,OKC,45,20.4,11.7,4.6-8.2,.567,0.0-0.1,.400,2.4-3.1,.775
